country,state/province,change_date,changed_field,changed_from,changed_to
Australia,all,29/01/2020,exposure_to_patient_isolation,FALSE,TRUE
Australia,all,15/03/2020,congregation_restriction,NONE,500
Australia,all,15/03/2020,enter_area_isolation,FALSE,TRUE
Australia,all,20/03/2020,prohibition_entering_country,FALSE,TRUE
Australia,all,23/03/2020,unnecessary_business,0,2
Australia,all,23/03/2020,religious_institutions,0,2
Australia,all,23/03/2020,educational_institutions,0,1
Australia,Victoria,24/03/2020,educational_institutions,1,2
Australia,New South Wales,24/03/2020,educational_institutions,1,2
Australia,all,15/03/2020,distance_saving_instructions,NONE,1.5
Australia,all,19/03/2020,limit_retirement_homes_visits,FALSE,TRUE
Australia,Queensland,21/03/2020,police_army_enforcement,FALSE,TRUE
Australia,New South Wales,15/03/2020,police_army_enforcement,FALSE,TRUE
Australia,Victoria,16/03/2020,police_army_enforcement,FALSE,TRUE
Australia,Western Australia,16/03/2020,police_army_enforcement,FALSE,TRUE
Australia,South Australia,18/03/2020,police_army_enforcement,FALSE,TRUE
Australia,all,29/01/2020,fines_and_incarceration,FALSE,TRUE
