exposure_to_patient_isolation,enter_area_isolation,appearance_of_symptoms_isolation,risk_groups_isolation,full_quarantine,partial_quarantine,unnecessary_business,educational_institutions,religious_institutions,distance_saving_instructions,congregation_restriction,prohibition_entering_country,public_transport_restriction,limit_hospital_visits,limit_retirement_homes_visits,disinfecting_public_spaces,police_army_enforcement,fines_and_incarceration,lockdown_level,country,province,start_date
True,True,False,False,False,False,2,2,2,1.5,500,True,0,False,True,False,True,True,3,Australia,New South Wales,2020-03-24 00:00:00
True,True,False,False,False,False,2,2,2,1.5,500,True,0,False,True,False,True,True,3,Australia,Victoria,2020-03-24 00:00:00
True,True,True,True,False,False,1,0,2,1,10,True,0,False,False,False,False,False,3,Singapore,all,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Aneurin Bevan,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Ayrshireֲ and Arran,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Barking and Dagenham,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Barnet,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Barnsley,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Bath and North East Somerset,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Bedford,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Betsi Cadwaladr,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Bexley,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Birmingham,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Blackburn with Darwen,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Blackpool,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Blaenau Gwent County Borough Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Bolton,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Borders,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,"Bournemouth, Christchurch and Poole",2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Bracknell Forest,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Bradford,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Brent,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Bridgend County Borough Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Brighton and Hove,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,"Bristol, City of",2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Bromley,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Buckinghamshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Bury,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Caerphilly County Borough Council,2020-03-24 00:00:00
