country,state/province,change_date,changed_field,changed_from,changed_to
Czech,all,07/03/2020,wide_temperature_tests,FALSE,TRUE
Czech,all,13/03/2020,enter_area_isolation,FALSE,TRUE
Czech,all,07/03/2020,fines_and_incarceration,FALSE,TRUE
Czech,all,08/03/2020,exposure_to_patient_isolation,FALSE,TRUE
Czech,all,10/03/2020,limit_hospital_visits,FALSE,TRUE
Czech,all,10/03/2020,congregation_restriction,None,100
Czech,all,13/03/2020,congregation_restriction,100,30
Czech,all,23/03/2020,congregation_restriction,30,2
Czech,all,10/03/2020,educational_institutions,0,1
Czech,all,13/03/2020,unnecessary_business,0,1
Czech,all,14/03/2020,unnecessary_business,1,2
Czech,all,16/03/2020,partial_quarantine,FALSE,TRUE
Czech,all,16/03/2020,educational_institutions,1,2
Czech,all,19/03/2020,encouragement_using_masks,FALSE,TRUE
Czech,all,16/03/2020,religious_institutions,0,2
Czech,all,16/03/2020,prohibition_entering_country,FALSE,TRUE
Czech,all,07/03/2020,police_army_enforcement,FALSE,TRUE
Czech,all,14/03/2020,encouragement_using_gloves,FALSE,TRUE
Czech,all,10/03/2020,limit_retirement_homes_visits,FALSE,TRUE
Czech,all,23/03/2020,distance_saving_instructions,None,2
Czech,all,01/03/2020,exposure_to_patient_isolation,FALSE,TRUE
Czech,all,12/03/2020,appearance_of_symptoms_isolation,FALSE,TRUE
Czech,all,12/03/2020,risk_groups_isolation,FALSE,TRUE
