country,state/province,change_date,changed_field,changed_from,changed_to
Norway,all,12/03/2020,enter_area_isolation ,FALSE,TRUE
Norway,all,12/03/2020,unnecessary_business ,NONE,1
Norway,all,12/03/2020,educational_institutions,NONE,2
Norway,all,16/03/2020,prohibition_entering_country,FALSE,TRUE
Norway,all,12/03/2020,limit_retirement_homes_visits,FALSE,TRUE
Norway,all,19/03/2020,fines_and_incarceration,FALSE,TRUE
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
