country,state/province,change_date,changed_field,changed_from,changed_to
Singapore,all,20/03/2020,congregation_restriction,None,250
Singapore,all,07/02/2020,appearance_of_symptoms_isolation,FALSE,TRUE
Singapore,all,20/03/2020,distance_saving_instructions,None,1
Singapore,all,21/03/2020,religious_institutions,0,1
Singapore,all,23/03/2020,prohibition_entering_country,FALSE,TRUE
Singapore,all,21/03/2020,enter_area_isolation,FALSE,TRUE
Singapore,all,24/03/2020,congregation_restriction,250,10
Singapore,all,11/03/2020,risk_groups_isolation,FALSE,TRUE
Singapore,all,24/03/2020,unnecessary_business,0,1
Singapore,all,16/03/2020,religious_institutions,0,1
Singapore,all,24/03/2020,religious_institutions,1,2
Singapore,all,23/01/2020,exposure_to_patient_isolation,FALSE,TRUE
Singapore,all,07/02/2020,wide_temperature_tests,FALSE,TRUE
Singapore,all,24/01/2020,encouragement_using_masks,FALSE,TRUE
Singapore,all,24/01/2020,encouragement_using_hand_sanitizers,FALSE,TRUE
