country,state/province,change_date,changed_field,changed_from,changed_to
Spain,all,31/01/2020,exposure_to_patient_isolation,FALSE,TRUE
Spain,all,31/01/2020,appearance_of_symptoms_isolation,FALSE,TRUE
Spain,La Rioja,07/03/2020,police_army_enforcement,FALSE,TRUE
Spain,La Rioja,07/03/2020,fines_and_incarceration,FALSE,TRUE
Spain,Basque,09/03/2020,educational_institutions,0,1
Spain,Castilla - La Mancha,09/03/2020,educational_institutions,0,1
Spain,La Rioja,10/03/2020,educational_institutions,0,2
Spain,La Rioja,10/03/2020,congregation_restriction,None,1000
Spain,all,10/03/2020,unnecessary_business,0,1
Spain,Catalunya,11/03/2020,congregation_restriction,None,1000
Spain,all,12/03/2020,educational_institutions,1,2
Spain,Catalunya,14/03/2020,unnecessary_business,1,2
Spain,Cantabria,14/03/2020,unnecessary_business,1,2
Spain,Murcia,14/03/2020,unnecessary_business,1,2
Spain,Galicia,14/03/2020,unnecessary_business,1,2
Spain,Basque,14/03/2020,unnecessary_business,1,2
Spain,Asturias,14/03/2020,unnecessary_business,1,2
Spain,all,15/03/2020,partial_quarantine,FALSE,TRUE
Spain,all,15/03/2020,unnecessary_business,1,2
Spain,all,15/03/2020,religious_institutions,0,1
Spain,all,15/03/2020,distance_saving_instructions,None,1
Spain,all,15/03/2020,public_transport_restriction,0,1
Spain,all,15/03/2020,disinfecting_public_spaces,FALSE,TRUE
Spain,all,15/03/2020,police_army_enforcement,FALSE,TRUE
Spain,all,15/03/2020,fines_and_incarceration,FALSE,TRUE
Spain,all,16/03/2020,prohibition_entering_country,FALSE,TRUE
