country,state/province,change_date,changed_field,changed_from,changed_to
UK,All,13-03-20,unnecessary_business,0,1
UK,All,15-03-20,risk_groups_isolation,FALSE,TRUE
UK,All,18-03-20,educational_institutions,0,1
UK,All,20-03-20,public_transport_restriction,0,1
UK,All,20-03-20,educational_institutions,1,2
UK,All,24-03-20,partial_quarantine,FALSE,TRUE
UK,All,24-03-20,police_army_enforcement,FALSE,TRUE
UK,All,24-03-20,unnecessary_business,1,2
UK,All,24-03-20,religious_institutions,0,1
UK,All,24-03-20,disinfecting_public_spaces,FALSE,TRUE
UK,All,24-03-20,fines_and_incarceration,FALSE,TRUE
UK,All,24-03-20,distance_saving_instructions,NONE,2
UK,All,24-03-20,appearance_of_symptoms_isolation,FALSE,TRUE
UK,All,31-01-20,exposure_to_patient_isolation,FALSE,TRUE
UK,All,24-03-20,congregation_restriction,NONE,2
,,,,,
,,,,,
,,,,,
