city,county,state,country,population
,,,THA,68414135
,,,JPN,126451398
,,,SGP,5888926
,,,NPL,29384297
,,,MYS,31381992
,,,KHM,16204486
,,,LKA,22409381
,,,DEU,80594017
,,,FIN,5491218
,,,ARE,6072475
,,,PHL,104256076
,,,IND,1281935911
,,,SWE,9960487
,,,BEL,11491346
,,,EGY,97041072
,,,LBN,6229794
,,,IRQ,39192111
,,,OMN,3424386
,,,AFG,34124811
,,,BHR,1410942
,,,KWT,2875422
,,,DZA,40969443
,,,HRV,4292095
,,,CHE,8236303
,,,AUT,8754413
,,,ISR,8299706
,,,PAK,204924861
,,,BRA,207353391
,,,GEO,4926330
,,,GRC,10768477
,,,MKD,2103721
,,,NOR,5320045
,,,ROU,21529967
,,,EST,1251581
,,,SMR,33537
,,,BLR,9549747
,,,ISL,339747
,,,LTU,2823859
,,,MEX,124574795
,,,NZL,4510327
,,,NGA,190632261
,,,IRL,5011102
,,,LUX,594130
,,,MCO,30645
,,,QAT,2314307
,,,ECU,16290913
,,,AZE,9961396
,,,ARM,3045191
,,,DOM,10734247
,,,IDN,260580739
,,,PRT,10839514
,,,AND,85702
,,,LVA,1944643
,,,MAR,33986655
,,,SAU,28571770
,,,SEN,14668522
,,,ARG,44293293
,,,CHL,17789267
,,,JOR,10248069
,,,UKR,44033874
,,,HUN,9850845
,,,LIE,38244
,,,POL,38476269
,,,TUN,11403800
,,,BIH,3856181
,,,SVN,1972126
,,,ZAF,54841552
,,,BTN,758288
,,,CMR,24994885
,,,COL,47698524
,,,CRI,4930258
,,,PER,31036656
,,,SRB,7111024
,,,SVK,5445829
,,,TGO,7965055
,,,MLT,416338
,,,MTQ,
,,,BGR,7101510
,,,MDV,392709
,,,BGD,157826578
,,,PRY,6943739
,,,ALB,3047987
,,,CYP,1221549
,,,BRN,443593
,,,BFA,20107509
,,,VAT,1000
,,,MNG,3068243
,,,PAN,3753142
,,Hubei,CHN,59170000
,,,IRN,82021564
,,,KOR,51181299
,,Guangdong,CHN,113460000
,,Henan,CHN,96050000
,,Zhejiang,CHN,57370000
,,Hunan,CHN,68990000
,,Anhui,CHN,63240000
,,Jiangxi,CHN,46480000
,,Shandong,CHN,100470000
,,Jiangsu,CHN,80510000
,,Chongqing,CHN,31020000
,,Sichuan,CHN,83410000
,,Heilongjiang,CHN,37730000
,,,DNK,5605948
,,Beijing,CHN,21540000
,,Shanghai,CHN,24240000
,,Hebei,CHN,75560000
,,Fujian,CHN,39410000
,,Guangxi,CHN,49260000
,,Shaanxi,CHN,38640000
,,Yunnan,CHN,48300000
,,Hainan,CHN,9340000
,,Guizhou,CHN,36000000
,,Tianjin,CHN,15600000
,,Shanxi,CHN,37180000
,,Gansu,CHN,26370000
,,,HKG,7191503
,,Liaoning,CHN,43590000
,,Jilin,CHN,27040000
,,,CZE,10674723
,,Xinjiang,CHN,24870000
,,Inner Mongolia,CHN,25000034
,,Ningxia,CHN,6880000
,,,TWN,23508428
,,,VNM,96160163
,,,RUS,142257519
,,Qinghai,CHN,6030000
