City_Name,Population,Infected,Date
Jerusalem,914559,1302,2020-04-04
Benny Barak,195298,1214,2020-04-04
Tel Aviv - Yafo,450192,359,2020-04-04
Ashkelon,139032,191,2020-04-04
Petach Tikva,242478,159,2020-04-04
Rishon LeZion,241010,139,2020-04-04
Beit Shemesh,120812,137,2020-04-04
Netanya,213971,137,2020-04-04
El'ad,46760,133,2020-04-04
Ashdod,225073,129,2020-04-04
Beer Sheva,196755,121,2020-04-04
Ramat Gan,143370,116,2020-04-04
Modi'in Illit,73808,115,2020-04-04
Holon,185741,110,2020-04-04
Haifa,272584,105,2020-04-04
Bat Yam,130523,103,2020-04-04
Maccabim,87108,101,2020-04-04
Tiberias,44353,94,2020-04-04
Beitar Illit,59240,88,2020-04-04
Or Yehuda,34843,84,2020-04-04
Migdal HaEmek,26058,84,2020-04-04
Raanana,73979,75,2020-04-04
Herzliya,90900,74,2020-04-04
Rehovot,137178,68,2020-04-04
Efrat,10676,61,2020-04-04
Yehud-Monosson,29104,61,2020-04-04
Kfar Saba,97412,56,2020-04-04
Afula,50886,49,2020-04-04
Lod,75038,46,2020-04-04
Zefat,35671,43,2020-04-04
Kfar Habad,6724,41,2020-04-04
Kiryat Ono,37112,41,2020-04-04
Ramla,75246,40,2020-04-04
Kiryat Yearim,5713,37,2020-04-04
Kokhav Ya'akov,8602,36,2020-04-04
Kiryat Malakhi,23691,36,2020-04-04
Ramat HaSharon,44896,33,2020-04-04
Hod HaSharon,59171,29,2020-04-04
Ma'ale Adumim,37469,29,2020-04-04
Givatim,55123,28,2020-04-04
Shoham,20041,28,2020-04-04
Rechasim,11841,27,2020-04-04
Givat Shumuel,24538,26,2020-04-04
Nahariya,58750,26,2020-04-04
Kiryat Gat,55400,26,2020-04-04
Yavne,45555,25,2020-04-04
Ganei Tiqva,18930,24,2020-04-04
Hadera,94104,24,2020-04-04
Netivot,36511,24,2020-04-04
Rosh Haayin,53965,24,2020-04-04
Sderot,25891,24,2020-04-04
Even Yehuda,13263,23,2020-04-04
Gan Yavne,22410,22,2020-04-04
Dimona,35377,22,2020-04-04
Zikhron Ya'akov,22341,22,2020-04-04
Nof Ha'Galilee,43811,22,2020-04-04
Ofakim,30185,21,2020-04-04
Azur,11819,21,2020-04-04
Carmiel,46596,21,2020-04-04
Gedera,24633,20,2020-04-04
Kiryat Yam,39556,20,2020-04-04
Umm al-Fahm,55324,16,2020-04-04
Be'er Ya'akov,24216,16,2020-04-04
Kiryat Ata,57108,16,2020-04-04
Giv'at Ze'ev,18510,15,2020-04-04
Tamra,33792,14,2020-04-04
Kfar Yona,21301,14,2020-04-04
Daburiyya,10414,13,2020-04-04
Tirat Carmel,22243,13,2020-04-04
Acre,50872,13,2020-04-04
Tel Mond,12593,13,2020-04-04
Value,26763,12,2020-04-04
Yokneam,22711,11,2020-04-04
Angola,20831,11,2020-04-04
Kiryat Arba,7364,11,2020-04-04
Eilat,56568,10,2020-04-04
Jasser a-Zarqa,14732,10,2020-04-04
