country,state/province,change_date,changed_field,changed_from,changed_to
Canada,New Brunswick,12/03/2020,enter_area_isolation,FALSE,TRUE
Canada,Quebec,12/03/2020,enter_area_isolation,FALSE,TRUE
Canada,Quebec,12/03/2020,appearance_of_symptoms_isolation,FALSE,TRUE
Canada,Quebec,12/03/2020,congregation_restriction,NONE,250
Canada,Alberta,13/03/2020,congregation_restriction,NONE,250
Canada,British Columbia,13/03/2020,congregation_restriction,NONE,250
Canada,Manitoba,13/03/2020,congregation_restriction,NONE,250
Canada,Manitoba,13/03/2020,educational_institutions,NONE,2
Canada,Nova Scotia,13/03/2020,congregation_restriction,NONE,150
Canada,Nova Scotia,13/03/2020,enter_area_isolation,FALSE,TRUE
Canada,Ontario,13/03/2020,congregation_restriction,NONE,250
Canada,Ontario,14/03/2020,limit_hospital_visits,FALSE,TRUE
Canada,Ontario,14/03/2020,limit_retirement_homes_visits,FALSE,TRUE
Canada,Ontario,14/03/2020,educational_institutions,NONE,2
Canada,Quebec,14/03/2020,fines_and_incarceration,FALSE,TRUE
Canada,Quebec,14/03/2020,distance_saving_instructions,NONE,2
Canada,Quebec,14/03/2020,risk_groups_isolation,FALSE,TRUE
Canada,Quebec,14/03/2020,limit_hospital_visits,FALSE,TRUE
Canada,Quebec,14/03/2020,limit_retirement_homes_visits,FALSE,TRUE
Canada,Nova Scotia,15/03/2020,limit_retirement_homes_visits,FALSE,TRUE
Canada,Nova Scotia,15/03/2020,distance_saving_instructions,NONE,2
Canada,Nova Scotia,15/03/2020,educational_institutions,NONE,2
Canada,all,16/03/2020,prohibition_entering_country,FALSE,TRUE
Canada,Prince Edward Island,16/03/2020,fines_and_incarceration,FALSE,TRUE
Canada,Prince Edward Island,16/03/2020,distance_saving_instructions,NONE,2
Canada,Prince Edward Island,16/03/2020,unnecessary_business,NONE,1
Canada,Prince Edward Island,16/03/2020,enter_area_isolation,FALSE,TRUE
Canada,Prince Edward Island,16/03/2020,educational_institutions,NONE,2
Canada,Alberta,17/03/2020,congregation_restriction,250,50
Canada,Alberta,17/03/2020,fines_and_incarceration,FALSE,TRUE
Canada,Alberta,17/03/2020,congregation_restriction,250,15
Canada,Alberta,17/03/2020,unnecessary_business,NONE,2
Canada,British Columbia,17/03/2020,educational_institutions,NONE,2
Canada,Ontario,17/03/2020,congregation_restriction,250,50
Canada,British Columbia,18/03/2020,congregation_restriction,250,50
Canada,British Columbia,18/03/2020,fines_and_incarceration,NONE,TRUE
Canada,Newfoundland and Labrador,18/03/2020,congregation_restriction,NONE,10
Canada,Newfoundland and Labrador,18/03/2020,unnecessary_business,NONE,2
Canada,Newfoundland and Labrador,18/03/2020,enter_area_isolation,FALSE,TRUE
Canada,Newfoundland and Labrador,18/03/2020,fines_and_incarceration,FALSE,TRUE
Canada,Northwest Territories,18/03/2020,enter_area_isolation,FALSE,TRUE
Canada,Northwest Territories,18/03/2020,prohibition_entering_country,FALSE,TRUE
Canada,Northwest Territories,18/03/2020,congregation_restriction,NONE,0
Canada,Northwest Territories,18/03/2020,unnecessary_business,NONE,2
Canada,Saskatchewan,18/03/2020,distance_saving_instructions,NONE,2
Canada,Saskatchewan,18/03/2020,enter_area_isolation,FALSE,TRUE
Canada,Saskatchewan,18/03/2020,fines_and_incarceration,FALSE,TRUE
Canada,Saskatchewan,18/03/2020,congregation_restriction,NONE,10
Canada,Saskatchewan,18/03/2020,unnecessary_business,NONE,1
Canada,New Brunswick,19/03/2020,congregation_restriction,NONE,10
Canada,New Brunswick,19/03/2020,unnecessary_business,NONE,2
Canada,New Brunswick,19/03/2020,prohibition_entering_country,FALSE,TRUE
Canada,New Brunswick,19/03/2020,fines_and_incarceration,FALSE,TRUE
Canada,Manitoba,20/03/2020,congregation_restriction,50,10
Canada,Manitoba,20/03/2020,unnecessary_business,NONE,2
Canada,Nunavut,20/03/2020,enter_area_isolation,FALSE,TRUE
Canada,Manitoba,20/03/2020,fines_and_incarceration,FALSE,TRUE
Canada,Nova Scotia,22/03/2020,congregation_restriction,150,5
Canada,Nova Scotia,22/03/2020,unnecessary_business,NONE,1
Canada,Nova Scotia,22/03/2020,fines_and_incarceration,FALSE,TRUE
Canada,Yukon,23/03/2020,enter_area_isolation,FALSE,TRUE
Canada,Yukon,23/03/2020,congregation_restriction,NONE,10
Canada,Yukon,23/03/2020,educational_institutions,NONE,2
Canada,Yukon,23/03/2020,risk_groups_isolation,FALSE,TRUE
Canada,Ontario,24/03/2020,unnecessary_business,NONE,2
Canada,all,25/03/2020,enter_area_isolation,FALSE,TRUE
Canada,all,25/03/2020,fines_and_incarceration,FALSE,TRUE
Canada,Ontario,28/03/2020,congregation_restriction,50,5
Canada,all,30/03/2020,appearance_of_symptoms_isolation,FALSE,TRUE
Canada,all,31/03/2020,encouragement_using_masks,FALSE,TRUE
Canada,all,31/03/2020,encouragement_using_gloves,FALSE,TRUE
Canada,all,19/03/2020,encouragement_using_hand_sanitizers,FALSE,TRUE
Canada,all,25/03/2020,police_army_enforcement,FALSE,TRUE
