country,state/province,change_date,changed_field,changed_from,changed_to
Czechia,all,07/03/2020,wide_temperature_tests,FALSE,TRUE
Czechia,all,07/03/2020,fines_and_incarceration,FALSE,TRUE
Czechia,all,07/03/2020,police_army_enforcement,FALSE,TRUE
Czechia,all,08/03/2020,exposure_to_patient_isolation,FALSE,TRUE
Czechia,all,10/03/2020,limit_hospital_visits,FALSE,TRUE
Czechia,all,10/03/2020,congregation_restriction,NONE,100
Czechia,all,11/03/2020,educational_institutions,0,1
Czechia,all,10/03/2020,limit_retirement_homes_visits,FALSE,TRUE
Czechia,all,12/03/2020,appearance_of_symptoms_isolation,FALSE,TRUE
Czechia,all,12/03/2020,risk_groups_isolation,FALSE,TRUE
Czechia,all,14/04/2020,enter_area_isolation,FALSE,TRUE
Czechia,all,13/03/2020,congregation_restriction,100,30
Czechia,all,13/03/2020,unnecessary_business,0,1
Czechia,all,14/03/2020,unnecessary_business,1,2
Czechia,all,14/03/2020,encouragement_using_gloves,FALSE,TRUE
Czechia,all,16/03/2020,partial_quarantine,FALSE,TRUE
Czechia,all,16/03/2020,educational_institutions,1,2
Czechia,all,16/03/2020,religious_institutions,0,2
Czechia,all,16/03/2020,prohibition_entering_country,FALSE,TRUE
Czechia,all,19/03/2020,encouragement_using_masks,FALSE,TRUE
Czechia,all,23/03/2020,congregation_restriction,30,2
Czechia,all,23/03/2020,distance_saving_instructions,NONE,2
Czechia,all,09/04/2020,unnecessary_business,2,1
Czechia,all,05/03/2020,encouragement_using_hand_sanitizers,FALSE,TRUE
