country,state/province,change_date,changed_field,changed_from,changed_to
Denmark,all,29/02/2020,appearance_of_symptoms_isolation,FALSE,TRUE
Denmark,all,29/02/2020,exposure_to_patient_isolation,FALSE,TRUE
Denmark,all,4/3/2020,enter_area_isolation,FALSE,TRUE
Denmark,all,6/3/2020,congregation_restriction,NONE,1000
Denmark,all,11/3/2020,congregation_restriction,1000,100
Denmark,all,18/03/2020,partial_quarantine,FALSE,TRUE
Denmark,all,13/03/2020,educational_institutions,0,1
Denmark,all,13/03/2020,unnecessary_business,0,1
Denmark,all,14/03/2020,prohibition_entering_country,FALSE,TRUE
Denmark,all,16/03/2020,educational_institutions,1,2
Denmark,all,17/03/2020,limit_hospital_visits,FALSE,TRUE
Denmark,all,17/03/2020,limit_retirement_homes_visits,FALSE,TRUE
Denmark,all,18/03/2020,distance_saving_instructions,NONE,2
Denmark,all,18/03/2020,congregation_restriction,100,10
Denmark,all,18/03/2020,fines_and_incarceration,FALSE,TRUE
Denmark,all,18/03/2020,police_army_enforcement,FALSE,TRUE
