country,state/province,change_date,changed_field,changed_from,changed_to
Japan,all,25/02/2020,appearance_of_symptoms_isolation,FALSE,TRUE
Japan,all,01/03/2020,encouragement_using_masks,FALSE,TRUE
Japan,all,01/03/2020,encouragement_using_gloves,FALSE,TRUE
Japan,all,02/03/2020,educational_institutions,0,2
Japan,all,14/03/2020,public_transport_restriction,0,1
Japan,Kanto,25/03/2020,unnecessary_business,0,1
Japan,all,03/04/2020,enter_area_isolation,FALSE,TRUE
Japan,all,03/04/2020,prohibition_entering_country,FALSE,TRUE
Japan,all,06/04/2020,educational_institutions,2,1
Japan,all,13/04/2020,educational_institutions,1,2
Japan,all,25/03/2020,encouragement_using_hand_sanitizers,FALSE,TRUE
Japan,all,28/03/2020,limit_retirement_homes_visits,FALSE,TRUE
Japan,all,14/04/2020,wide_temperature_tests,FALSE,TRUE
