country,state/province,change_date,changed_field,changed_from,changed_to
US,massachusetts,12/03/2020,limit_retirement_homes_visits,FALSE,TRUE
US,massachusetts,13/03/2020,concongregation_restriction,None,250
US,massachusetts,15/03/2020,limit_hospital_visits,FALSE,TRUE
US,massachusetts,16/03/2020,concongregation_restriction,250,25
US,massachusetts,23/03/2020,unnecessary_business,None,2
US,massachusetts,16/03/2020,educational_institutions,None,1
US,massachusetts,18/03/2020,educational_institutions,1,2
US,massachusetts,23/03/2020,concongregation_restriction,25,10
US,massachusetts,23/03/2020,distance_saving_instructions,None,2
US,massachusetts,27/03/2020,enter_area_isolation,FALSE,TRUE
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
