country,state/province,change_date,changed_field,changed_from,changed_to
Netherlands,all,12/03/2020,unnecessary_business,0,1
Netherlands,all,12/03/2020,congregation_restriction,NONE,100
Netherlands,all,12/03/2020,educational_institutions,0,1
Netherlands,all,12/03/2020,appearance_of_symptoms_isolation,FALSE,TRUE
Netherlands,all,15/03/2020,educational_institutions,1,2
Netherlands,all,16/03/2020,distance_saving_instructions,NONE,1.5
Netherlands,all,16/03/2020,congregation_restriction,100,3
Netherlands,all,16/03/2020,unnecessary_business,1,2
Netherlands,all,16/03/2020,public_transport_restriction,0,1
Netherlands,all,16/03/2020,police_army_enforcement,FALSE,TRUE
Netherlands,all,16/03/2020,fines_and_incarceration,FALSE,TRUE
