country,state/province,change_date,changed_field,changed_from,changed_to
Norway,all,12/03/20,enter_area_isolation,FALSE,TRUE
Norway,all,12/03/20,unnecessary_business,NONE,1
Norway,all,14/03/20,educational_institutions,NONE,2
Norway,all,16/03/20,prohibition_entering_country,FALSE,TRUE
Norway,all,12/03/20,limit_retirement_homes_visits,FALSE,TRUE
Norway,all,19/03/20,fines_and_incarceration,FALSE,TRUE
Norway,all,01/04/20,prohibition_entering_country,TRUE,FALSE
Norway,all,12/03/20,distance_saving_instructions,NONE,2
Norway,all,24/03/20,exposure_to_patient_isolation,FALSE,TRUE
Norway,all,20/04/20,educational_institutions,2,1
