country,state/province,change_date,changed_field,changed_from,changed_to
Spain,all,31-01-20,exposure_to_patient_isolation,FALSE,TRUE
Spain,all,31-01-20,appearance_of_symptoms_isolation,FALSE,TRUE
Spain,LaRioja,07-03-20,police_army_enforcement,FALSE,TRUE
Spain,LaRioja,07-03-20,fines_and_incarceration,FALSE,TRUE
Spain,PaisVasco,09-03-20,educational_institutions,0,1
Spain,CastillaLaMancha,09-03-20,educational_institutions,0,1
Spain,LaRioja,10-03-20,educational_institutions,0,2
Spain,LaRioja,10-03-20,congregation_restriction,NONE,1000
Spain,all,10-03-20,unnecessary_business,0,1
Spain,Cataluna,11-03-20,congregation_restriction,NONE,1000
Spain,all,12-03-20,educational_institutions,1,2
Spain,Cataluna,14-03-20,unnecessary_business,1,2
Spain,Cantabria,14-03-20,unnecessary_business,1,2
Spain,Murcia,14-03-20,unnecessary_business,1,2
Spain,Galicia,14-03-20,unnecessary_business,1,2
Spain,PaisVasco,14-03-20,unnecessary_business,1,2
Spain,Asturias,14-03-20,unnecessary_business,1,2
Spain,all,15-03-20,partial_quarantine,FALSE,TRUE
Spain,all,15-03-20,religious_institutions,0,1
Spain,all,15-03-20,distance_saving_instructions,NONE,1
Spain,all,15-03-20,public_transport_restriction,0,1
Spain,all,15-03-20,disinfecting_public_spaces,FALSE,TRUE
Spain,all,15-03-20,police_army_enforcement,FALSE,TRUE
Spain,all,15-03-20,fines_and_incarceration,FALSE,TRUE
Spain,all,16-03-20,prohibition_entering_country,FALSE,TRUE
Spain,all,28-03-20,unnecessary_business,1,2
Spain,all,13-04-20,unnecessary_business,2,1
