country,state/province,change_date,changed_field,changed_from,changed_to
United Kingdom,all,31/01/2020,exposure_to_patient_isolation,FALSE,TRUE
United Kingdom,all,28/02/2020,appearance_of_symptoms_isolation,FALSE,TRUE
United Kingdom,all,13/03/2020,unnecessary_business,0,1
United Kingdom,all,15/03/2020,risk_groups_isolation,FALSE,TRUE
United Kingdom,all,18/03/2020,educational_institutions,0,1
United Kingdom,all,20/03/2020,public_transport_restriction,0,1
United Kingdom,all,20/03/2020,educational_institutions,1,2
United Kingdom,all,20/03/2020,unnecessary_business,1,2
United Kingdom,all,24/03/2020,partial_quarantine,FALSE,TRUE
United Kingdom,all,24/03/2020,religious_institutions,0,1
United Kingdom,all,24/03/2020,disinfecting_public_spaces,FALSE,TRUE
United Kingdom,all,24/03/2020,distance_saving_instructions,NONE,2
United Kingdom,all,24/03/2020,congregation_restriction,NONE,2
United Kingdom,all,26/03/2020,police_army_enforcement,FALSE,TRUE
United Kingdom,all,26/03/2020,fines_and_incarceration,FALSE,TRUE
