"Rate per 100,000",Number of actual insulation,A number of recoverers,Number 1. Verified patients,A number of subjects,Population as of 2018,City
1051.21,258,154,"2,053","9,517","195,298",Bnei Brak
682.65,10,21,39,414,"5,713",Kiryat Ye'arim
662.64,23,4,57,302,"8,602",Kokhav Ya'akov
654.37,7,26,44,223,"6,724",Kfar Habad
599.48,5,30,64,649,"10,676",Efrat
594.53,54,19,278,"2,009","46,760",El'ad
440.79,2,2,22,172,"4,991",Mitzpe Ramon
379.92,30,33,99,878,"26,058",Migdal HaEmek
344.40,37,24,120,"1,455","34,843",Or Yehuda
323.81,55,10,239,"1,390","73,808",Modi'in Illit
302.12,131,22,134,"1,567","44,353",Tiberias
298.78,49,12,177,"1,186","59,240",Beitar Illit
295.58,6,2,35,227,"11,841",Rechasim
253.83,10,4,30,376,"11,819",Azur
246.89,862,177,"2,258","20,854","914,559",Jerusalem
237.58,3,2,35,"1,035","14,732",Jasser a-Zarqa
230.46,42,1,24,555,"10,414",Daburiyya
226.77,33,24,66,969,"29,104",Yehud
211.05,24,20,50,461,"23,691",Kiryat Malakhi
203.57,16,10,27,307,"13,263",Even Yehuda
203.45,5,2,15,141,"7,373",Katzrin
189.61,25,13,38,691,"20,041",Shoham
187.07,85,19,226,"2,188","120,812",Beit Shemesh
180.69,5,0,9,141,"4,981",Beit Aryeh-Ofarim
176.53,4,5,13,221,"7,364",Kiryat Arba
174.33,20,7,33,616,"18,930",Ganei Tikva
169.03,144,77,235,"3,652","139,032",Ashkelon
161.14,18,7,36,461,"22,341",Zikhron Ya'akov
157.06,11,0,10,183,"6,367",ShibliUmm al-Ghanam
156.99,39,12,56,663,"35,671",Zefat
151.27,34,3,28,498,"18,510",Giv'at Ze'ev
151.13,32,1,18,626,"11,910",Jatt
150.97,2,0,8,108,"5,299",Geva Binyamin
146.71,29.0,11.0,36.0,666,"24,538",Giv'at Shmuel
138.72,17.0,0.0,8.0,114,"5,767",Beit El
137.76,106.0,48.0,120.0,"2,768","87,108",Maccabim
137.23,5.0,3.0,11.0,238,"8,016",Omer
132.03,27.0,16.0,49.0,"1,110","37,112",Kiryat Ono
124.36,55.0,28.0,92.0,"1,747","73,979",Ra'anana
123.49,2.0,0.0,8.0,153,"6,478",Shlomi
117.91,39.0,14.0,60.0,"1,125","50,886",Afula
116.02,26.0,11.0,26.0,571,"22,410",Gan Yavne
115.95,41.0,7.0,35.0,662,"30,185",Ofakim
112.01,23.0,4.0,29.0,630,"25,891",Sderot
111.86,99.0,36.0,146.0,"2,700","130,523",Bat Yam
111.17,4.0,8.0,14.0,285,"12,593",Tel Mond
106.75,77.0,8.0,40.0,"1,094","37,469",Ma'ale Adumim
103.96,351.0,147.0,468.0,"11,831","450,192",Tel Aviv - Yafo
103.41,68.0,29.0,94.0,"2,068","90,900",Herzliya
102.55,1.0,0.0,6.0,56,"5,851",Pekiin
102.53,103.0,30.0,147.0,"4,283","143,370",Ramat Gan
101.19,14.0,1.0,8.0,130,"7,906",Karnei Shomron
98.44,8.0,3.0,9.0,272,"9,143",Kokhav Ya'ir
97.43,14.0,11.0,24.0,541,"24,633",Gedera
97.12,7.0,4.0,6.0,218,"6,178",Lehavim
95.86,78.0,6.0,35.0,715,"36,511",Netivot
94.63,11.0,1.0,10.0,225,"10,567",Deir Hanna
92.38,247.0,43.0,224.0,"5,070","242,478",Petah Tikva
91.95,51.0,20.0,69.0,"1,376","75,038",Lod
91.32,20.0,19.0,41.0,"1,076","44,896",Ramat HaSharon
88.07,16.0,1.0,5.0,108,"5,677",Eilabun
86.76,47.0,3.0,48.0,"1,106","55,324",Umm al-Fahm
86.64,152.0,44.0,195.0,"4,436","225,073",Ashdod
85.06,148.0,29.0,158.0,"4,566","185,741",Holon
84.91,12.0,3.0,9.0,205,"10,600",Kiryat Ekron
84.23,253.0,58.0,203.0,"6,124","241,010",Rishon Lezion
81.55,46.0,9.0,38.0,810,"46,596",Carmiel
80.85,154.0,34.0,173.0,"3,477","213,971",Netanya
79.15,25.0,13.0,28.0,759,"35,377",Dimona
78.46,22.0,4.0,19.0,605,"24,216",Be'er Ya'akov
77.08,38,11,58,"1,477","75,246",Ramla
75.81,123.0,34.0,104.0,"2,875","137,178",Rehovot
74.64,30.0,12.0,34.0,"1,065","45,555",Yavne
74.2,174.0,26.0,146.0,"4,585","196,755",Be'er Sheva
73.13,5.0,2.0,5.0,143,"6,837",Bnei Aish
72.38,68.0,1.0,9.0,324,"12,435",Dyer al-Assad
71.86,74.0,20.0,70.0,"1,815","97,412",Kfar Saba
71.44,1.0,1.0,4.0,101,"5,599",Kfar Vradim
69.92,8.0,0.0,7.0,220,"10,011",Jaljulia
68.88,39.0,1.0,20.0,789,"29,035",Baqa al-Gharbiya
67.21,12.0,3.0,14.0,445,"20,831",Kadima Zoran
67.18,4.0,0.0,4.0,130,"5,954",Tzur Itzhak
66.89,10.0,4.0,10.0,407,"14,949",Mazkeret Batya
66.79,28.0,9.0,37.0,929,"55,400",Kiryat Gat
66.71,111.0,4.0,36.0,"1,365","53,965",Rosh Ha'ayin
66.19,41.0,3.0,29.0,"1,080","43,811",Nof Ha'Galil
65.72,5.0,4.0,14.0,459,"21,301",Kfar Yona
