"Rate per 100,000",Number of actual insulation,A number of recoverers,Number 1. Verified patients,A number of subjects,Population as of 2018,City
1100.88 682.65,206 5,231 24,"2,150 39","9,934 418","195,298 5,713",Bnei Brak
674.26,13,5,58,304,"8,602",Forests Kochav Yaakov
654.37,6,29,44,227,"6,724",Kfar Habad
643.71,39,30,301,"2,068","46,760",El'ad
599.48,5,30,64,659,"10,676",Efrat
480.87,0,9,24,178,"4,991",Mitzpe Ramon
379.92,19,40,99,902,"26,058",Migdal
353.62,48,17,261,"1,500","73,808",Modi'in
350.14,23,28,122,"1,529","34,843",Or Yehuda
349.43,38,18,207,"1,287","59,240",Betar
324.67,95,28,144,"1,737","44,353",Upper Elite Tiberias
304.03,2,3,36,248,"11,841",Rechasim
264.39,777,242,"2,418","22,775","914,559",Jerusalem
253.83,10,7,30,387,"11,819",Azur
244.37,6,3,36,"1,127","14,732",Jessar a-
241.25,86,1,30,"1,021","12,435",Threw a tenant to-
240.52,26,27,70,"1,017","29,104",Assad Yehud
240.06,36,1,25,683,"10,414",Daburiyya
236.38,35,28,56,486,"23,691",Kiryat Kiryat
225.14,84,30,272,"2,341","120,812",Angels of Beit Shemesh
217.01,5,3,16,151,"7,373",Katzrin
208.08,14,0,12,121,"5,767",Beit El
203.57,19,11,27,323,"13,263",Even Yehuda
195.64,117,110,272,"3,960","139,032",Ashkelon
189.61,19,15,38,716,"20,041",Shoham
184.89,15,10,35,631,"18,930",Ganei Tikva
180.69,3,0,9,144,"4,981",Beit Aryeh-Ofarim
176.53,3.0,5.0,13.0,229,"7,364",Kiryat
172.88,34.0,4.0,32.0,520,"18,510",Four Wolf&#39;s Hill
168.2,26.0,17.0,60.0,700,"35,671",Zefat
167.93,30.0,1.0,20.0,664,"11,910",Jatt
161.14,13.0,9.0,36.0,469,"22,341",Zikhron Ya'akov
157.06,8.0,0.0,10.0,213,"6,367",Shibli–Umm al-Ghanam
154.86,17.0,12.0,38.0,686,"24,538",Hill Hill
153.82,9.0,0.0,9.0,199,"5,851",Samuel Peki&#39;in
150.97,2.0,0.0,8.0,117,"5,299",(Buckeye) Geva Benjamin
140.12,24.0,22.0,52.0,"1,151","37,112",Kiryat Ono
138.93,11.0,3.0,9.0,164,"6,478",Shlomi
137.76,90.0,55.0,120.0,"2,858","87,108",Maccabim
137.23,2.0,5.0,11.0,258,"8,016",Reut Omar
128.73,70.0,9.0,47.0,761,"36,511",Netivot
128.41,46.0,39.0,95.0,"1,831","73,979",Ra'anana
125.89,40.0,9.0,38.0,705,"30,185",Ofakim
120.48,23.0,13.0,27.0,594,"22,410",Gan Yavne
120.31,7.0,3.0,11.0,287,"9,143",Kokhav Ya'ir
119.88,33.0,17.0,61.0,"1,177","50,886",Afula
119.11,3.0,9.0,15.0,300,"12,593",Tel Mond
118.75,87.0,48.0,155.0,"2,865","130,523",Bat Yam
112.01,19.0,11.0,29.0,659,"25,891",Sderot
109.51,86.0,43.0,157.0,"4,896","143,370",Ramat Gan
109.42,73.0,10.0,41.0,"1,162","37,469",Degree
107.29,336.0,182.0,483.0,"12,325","450,192",Reds Tel Aviv -
105.61,62.0,36.0,96.0,"2,279","90,900",Herzliya
101.3,152.0,62.0,228.0,"4,636","225,073",Ashdod
101.19,10.0,2.0,8.0,134,"7,906",horny
99.95,63.0,21.0,75.0,"1,598","75,038",Samaria Lod
99.41,39.0,5.0,55.0,"1,263","55,324",Um al-
97.43,16.0,11.0,24.0,559,"24,633",Coal fence
97.12,4.0,4.0,6.0,222,"6,178",Lehavim
96.92,208.0,62.0,235.0,"5,329","242,478",Expand
94.63,10.0,1.0,10.0,320,"10,567",Hope Tenant Hanna
93.55,22.0,21.0,42.0,"1,118","44,896",Ramat HaSharon
90.14,47.0,12.0,42.0,"1,026","46,596",Carmiel
88.47,11.0,0.0,8.0,376,"9,043",Meiter
88.29,142.0,41.0,164.0,"4,762","185,741",Holon
88.07,15.0,1.0,5.0,128,"5,677",Eilabun
86.72,19.0,4.0,21.0,636,"24,216",Be'er Ya'akov
86.3,178.0,78.0,208.0,"6,386","241,010",First
84.91,6.0,3.0,9.0,218,"10,600",To mark Kiryat
84.8,20.0,12.0,30.0,801,"35,377",Dimona Principle
82.72,143.0,49.0,177.0,"3,899","213,971",Netanya
79.74,37.0,13.0,60.0,"1,598","75,246",Ramla
79.46,106.0,43.0,109.0,"3,198","137,178",Rehovot
77.25,121.0,33.0,152.0,"5,133","196,755",Be'er Sheva
77.21,2.0,3.0,6.0,167,"7,771",Alfie
