City_Name,Population,Infected
Jerusalem,914559,1132
Bnei Brak,195298,1061
Tel Aviv - Yafo,450192,337
Ashkelon,139032,170
Petah Tikva,242478,138
Rishon Lezion,241010,132
Netanya,213971,126
El'ad,46760,120
Beit Shemesh,120812,118
Be'er Sheva,196755,112
Ashdod,225073,111
Ramat Gan,143370,106
Holon,185741,104
Bat Yam,130523,102
Haifa,272584,96
Modi'in Illit,73808,91
Modi'in-Maccabim-Re'ut,87108,91
Tiberias,44353,83
Migdal HaEmek,26058,82
Or Yehuda,34843,74
Ra'anana,73979,73
Beitar Illit,59240,70
Herzliya,90900,69
Rehovot,137178,66
Efrat,10676,61
Yehud-Monosson,29104,59
Kfar Saba,97412,50
Lod,75038,44
Afula,50886,41
Kfar Habad,6724,39
Kiryat Ono,37112,38
Zefat,35671,37
Kiryat Ye'arim,5713,36
Ramla,75246,36
Kiryat Malakhi,23691,35
Kokhav Ya'akov,8602,32
Ramat HaSharon,44896,32
Hod HaSharon,59171,29
Givatim,55123,27
Ma'ale Adumim,37469,27
Nahariya,58750,26
Kiryat Gat,55400,26
Shoham,20041,25
Giv'at Shmuel,24538,24
Sderot,25891,24
Ganei Tiqva,18930,23
Zikhron Ya'akov,22341,22
Hadera,94104,22
Even Yehuda,13263,21
Gan Yavne,22410,21
Yavne,45555,21
Carmiel,46596,21
Rosh Ha'ayin,53965,21
Azur,11819,20
Netivot,36511,20
Rechasim,11841,20
Gedera,24633,19
Dimona,35377,19
Kiryat Yam,39556,19
Nof Ha'Galil,43811,18
Ofakim,30185,17
Be'er Ya'akov,24216,16
Kiryat Ata,57108,16
Giv'at Ze'ev,18510,14
Tamra,33792,14
Umm el-Fahm,55324,13
Tirat Carmel,22243,13
Tel Mond,12593,13
Kfar Yona,21301,12
Acre,50872,12
Arad,26763,12
Kadima Zoran,20831,11
Kiryat Arba,7364,11
Eilat,56568,10
Yokneam,22711,10
Omer,8016,10
Mevaseret Zion,23093,9
Ma'alot-Tarshiha,22261,9
Kiryat Shmona,22152,9
Taibe,43144,8
Kokhav Ya'ir,9143,8
Ness Ziona,45714,8
Katzrin,7373,8
Daburiyya,10414,7
Maghar,22364,7
Nazareth,78252,7
Kiryat Bialik,39262,7
ShibliUmm al-Ghanam,6367,7
Jatt,11910,6
Deir Hanna,10567,6
Kuseife,16957,6
Lehavim,6178,6
Mazkeret Batya,14949,6
Sakhnin,32089,6
Pardes Hanna-Karkur,40622,6
Kiryat Motzkin,42870,6
Karnei Shomron,7906,6
Alfei Menashe,7771,5
Bir al-Maksur,9866,5
Nesher,22032,5
Shlomi,6478,5
Ariel,18251,4
Baqa al-Gharbiya,29035,4
Bnei Aish,6837,4
Geva Binyamin,5299,4
Tzur Hadassah,7856,4
Kiryat Ekron,10600,4
Rahat,64649,4
Or Akiva,18893,3
Iksal,14655,3
Beit Dagan,6533,3
Jasser a-Zarqa,14732,3
Harish,8737,3
Yafa an-Naseriyye,19056,3
Ma'ale Iron,14861,3
Tzur Itzhak,5954,3
Buq'ata,6586,2
Beit El,5767,2
Basmaa,10532,2
Basmat Tab'un,7833,2
Jedida-bestseller,20524,2
Jules,6147,2
Tiraa,26184,2
Kafr Kanna,22449,2
Kafr Qara,18820,2
Meiter,9043,2
Atlit,7442,2
Kiryat Tiv'on,15831,2
Ramat Yishai,7236,2
Shefa-'Amr,40666,2
Abu Ghosh,7792,1
Abu Rubiya,8446,1
Oranit,8822,1
Binyamina-Givat Ada,14383,1
Bi'ina,8355,1
Bat Hefer,5124,1
Jaljulia,10011,1
Deir al-Assad,12435,1
Zemer,6926,1
Hurfeish,6288,1
Tuba-Zangaria,6648,1
Yeruham,10126,1
Kfar Vradim,5599,1
Kafr Yasif,10577,1
Majdal Shams,11089,1
Masudin al-Azazma,16644,1
Nahaf,13167,1
Eilabun,5677,1
Isfiya,12141,1
Arraba,25876,1
Pardesiya,6027,1
Clansua,22740,1
Tel as-Sabi,19850,1
