"Rate of patients per 100,000",Number of actual insulation,Number 1. are recovering,Number 2. Verified patients,Number 3. subjects,Population as of 2018,City
925,352,73,"1,806","8,531","195,298",Bnei Brak
683,15,21,39,408,"5,713",Kiryat Ye'arim
654,9,18,44,213,"6,724",Kfar Habad
639,35,4,55,281,"8,602",Kokhav Ya'akov
599,11,27,64,632,"10,676",Efrat
518,71,11,242,"1,785","46,760",El'ad
372,53,23,97,848,"26,058",Migdal HaEmek
324,54,15,113,"1,256","34,843",Or Yehuda
293,161,14,130,"1,470","44,353",Tiberias
279,85,4,206,"1,215","73,808",Modi'in Illit
248,60,6,147,917,"59,240",Beitar Illit
245,12,1,29,213,"11,841",Rechasim
237,14,2,28,354,"11,819",Azur
223,37,15,65,922,"29,104",Yehud
221,44,0,23,498,"10,414",Daburiyya
214,915,106,"1,959","18,312","914,559",Jerusalem
210,7,2,31,692,"14,732",Jasser a-Zarqa
194,24,19,46,423,"23,691",Kiryat Malakhi
185,31,8,37,665,"20,041",Shoham
181,17,10,24,291,"13,263",Even Yehuda
176,9,1,13,131,"7,373",Katzrin
165,90,12,199,"1,921","120,812",Beit Shemesh
164,236,48,228,"3,440","139,032",Ashkelon
163,5,5,12,212,"7,364",Kiryat Arba
157,16,0,10,139,"6,367",ShibliUmm al-Ghanam
157,30,5,35,443,"22,341",Zikhron Ya'akov
151,54,7,54,600,"35,671",Zefat
148,22,5,28,582,"18,930",Ganei Tikva
143,42,6,35,630,"24,538",Giv'at Shmuel
135,125,44,118,"2,638","87,108",Maccabim
134,41,0,16,546,"11,910",Jatt
132,5,0,7,93,"5,299",Geva Binyamin
125,6,3,10,230,"8,016",Omer
124,35,1,23,441,"18,510",Giv'at Ze'ev
124,33,15,46,"1,019","37,112",Kiryat Ono
122,82,22,90,"1,669","73,979",Ra'anana
112,30,7,25,548,"22,410",Gan Yavne
111,9,5,14,276,"12,593",Tel Mond
110,63,11,56,"1,084","50,886",Afula
109,35,5,33,621,"30,185",Ofakim
109,153,27,142,"2,426","130,523",Bat Yam
108,30,3,28,572,"25,891",Sderot
108,8,0,7,141,"6,478",Shlomi
102,115,23,93,"1,977","90,900",Herzliya
101,14,0,8,115,"7,906",Karnei Shomron
100,539,109,452,"11,013","450,192",Tel Aviv - Yafo
99,63,5,37,"1,002","37,469",Ma'ale Adumim
98,5,3,9,263,"9,143",Kokhav Ya'ir
97,8,1,6,212,"6,178",Lehavim
95,137,24,136,"3,517","143,370",Ramat Gan
95,19,0,10,185,"10,567",Deir Hanna
88,16,1,5,94,"5,677",Eilabun
88,72,2,32,658,"36,511",Netivot
87,183,18,162,"3,793","185,741",Holon
87,34,14,39,"1,019","44,896",Ramat HaSharon
87,13,0,5,99,"5,767",Beit El
87,268,29,210,"4,774","242,478",Petah Tikva
85,21,9,21,515,"24,633",Gedera
83,79,12,62,"1,224","75,038",Lod
81,337,28,195,"5,744","241,010",Rishon Lezion
77,225,30,173,"4,151","225,073",Ashdod
76,33,9,27,735,"35,377",Dimona
75,186,24,160,"3,308","213,971",Netanya
74,75,8,56,"1,346","75,246",Ramla
74,21,1,18,571,"24,216",Be'er Ya'akov
73,10,2,5,134,"6,837",Bnei Aish
72,43,9,33,"1,017","45,555",Yavne
72,227,16,141,"4,392","196,755",Be'er Sheva
69,87,12,67,"1,734","97,412",Kfar Saba
67,24,2,14,436,"20,831",Kadima Zoran
67,5,0,4,126,"5,954",Tzur Itzhak
67,177,29,92,"2,710","137,178",Rehovot
67,15,1,10,392,"14,949",Mazkeret Batya
66,17,2,7,199,"10,600",Kiryat Ekron
66,7,2,14,443,"21,301",Kfar Yona
64,44,4,30,599,"46,596",Carmiel
64.0,5.0,2.0,5.0,143,"7,771",Alfei Menashe
64.0,20.0,3.0,5.0,244,"7,856",Tzur Hadassah
63.0,122.0,3.0,34.0,"1,262","53,965",Rosh Ha'ayin
63.0,10.0,2.0,14.0,356,"22,243",Tirat Carmel
62.0,88.0,1.0,18.0,662,"29,035",Baqa al-Gharbiya
62.0,27.0,2.0,14.0,326,"22,711",Yokneam
62.0,54.0,2.0,27.0,"1,041","43,811",Nof Ha'Galil
61.0,29.0,6.0,34.0,854,"55,400",Kiryat Gat
61.0,15.0,0.0,4.0,126,"6,533",Beit Dagan
61.0,55.0,6.0,36.0,"1,148","59,171",Hod HaSharon
60.0,48.0,7.0,33.0,"1,234","55,123",Givatayim
58.0,70.0,3.0,32.0,972,"55,324",Umm el-Fahm
56.0,30.0,3.0,13.0,591,"23,093",Mevaseret Zion
56.0,25.0,3.0,15.0,322,"26,763",Arad
54.0,31.0,2.0,12.0,316,"22,152",Kiryat Shmona
54.0,2.0,1.0,3.0,99,"5,599",Kfar Vradim
53.0,25.0,4.0,21.0,641,"39,556",Kiryat Yam
51.0,15.0,0.0,5.0,69,"9,866",Bir al-Maksur
50.0,11.0,0.0,5.0,174,"10,011",Jaljulia
49.0,17.0,0.0,5.0,153,"10,126",Yeruham
49.0,212.0,21.0,134.0,"3,995","272,584",Haifa
48.0,39.0,1.0,6.0,226,"12,435",Dyer al-Assad
48.0,60.0,8.0,28.0,"1,057","58,750",Nahariya
47.0,21.0,4.0,16.0,535,"33,792",Tamra
46.0,34.0,1.0,4.0,224,"8,737",Harish
45.0,14.0,3.0,10.0,235,"22,261",Ma'alot-Tarshiha
44.0,12.0,0.0,4.0,341,"9,043",Meiter
43.0,13.0,0.0,3.0,139,"6,926",Zemer
41.0,11.0,0.0,7.0,184,"16,957",Kuseife
41.0,12.0,0.0,6.0,192,"14,655",Iksal
40.0,17.0,0.0,6.0,155,"14,861",Ma'ale Iron
39.0,46.0,1.0,18.0,992,"45,714",Ness Ziona
38.0,25.0,0.0,7.0,427,"18,251",Ariel
36.0,62.0,7.0,34.0,"1,273","94,104",Hadera
36.0,5.0,0.0,2.0,86,"5,584",Sha'arei Tikva
34.0,1.0,0.0,2.0,40,"5,851",Pekiin
34.0,21.0,0.0,3.0,201,"8,822",Oranit
33.0,24.0,4.0,17.0,607,"50,872",Acre
33.0,25.0,5.0,19.0,784,"57,108",Kiryat Ata
33,2,1,2.1,135,"6,027",Pardesiya
33.0,6.0,0.0,2.0,68,"6,147",Jules
32.0,31.0,0.0,6.0,350,"18,820",Kafr Qara
32.0,40.0,4.0,18.0,891,"56,568",Eilat
32.0,15.0,0.0,2.0,66,"6,288",Hurfeish
32.0,8.0,0.0,6.0,208,"18,893",Or Akiva
31.0,11.0,1.0,7.0,254,"22,364",Maghar
31.0,30.0,2.0,12.0,567,"39,262",Kiryat Bialik
30.0,13.0,1.0,4.0,101,"13,167",Nahaf
30.0,5.0,2.0,2.0,56,"6,586",Buq'ata
30.0,30.0,0.0,7.0,563,"23,517",Kafr Qasim
28.0,6.0,0.0,3.0,175,"10,532",Basmaa
28.0,37.0,1.0,2.0,168,"7,236",Ramat Yishai
27.0,8.0,1.0,2.0,149,"7,442",Atlit
26.0,12.0,0.0,2.0,65,"7,833",Basmat Tab'un
25.0,9.0,0.0,3.0,240,"12,141",Isfiya
25.0,21.0,2.0,10.0,577,"40,622",Pardes Hanna-Karkur
23.0,26.0,3.0,10.0,665,"42,870",Kiryat Motzkin
23.0,35.0,0.0,10.0,599,"43,144",Tayibe
23.0,14.0,2.0,5.0,301,"22,032",Nesher
22.0,18.0,0.0,3.0,106,"13,388",Ein Mahil
21.0,18.0,0.0,3.0,197,"14,383",Binyamina-Givat Ada
21.0,8.0,0.0,2.0,143,"9,722",Hatzor HaGlilit
20.0,48.0,1.0,13.0,"1,015","64,649",Rahat
20.0,27.0,0.0,2.0,123,"9,974",Buayne-Nujidat
20.0,2.0,1.0,1.0,142,"5,124",Bat Hefer
19.0,15.0,0.0,1.0,112,"5,272",Caesarea Maritima
19.0,38.0,0.0,3.0,274,"15,831",Kiryat Tiv'on
19.0,6.0,1.0,2.0,117,"10,577",Kafr Yasif
19.0,53.0,3.0,6.0,443,"32,089",Sakhnin
16.0,8.0,2.0,3.0,125,"19,056",Yafa an-Naseriyye
15.0,45.0,0.0,4.0,507,"26,184",Tiraa
15.0,15.0,0.0,2.0,118,"13,133",Fureidis
15.0,1.0,0.0,1.0,20,"6,648",Tuba-Zangaria
13.0,1.0,0.0,1.0,58,"7,792",Abu Ghosh
13.0,62.0,1.0,10.0,761,"78,252",Nazareth
12.0,15.0,0.0,1.0,76,"8,355",Bi'ina
12.0,0.0,0.0,1.0,27,"8,446",Abu Rubeya (tribe)
10.0,46.0,0.0,2.0,424,"19,667",Ar'ara
10,33,1,4,380,"40,666",Shefa-'Amr
10.0,15.0,0.0,2.0,187.0,"20,524",Jadeida-acquaintance
9.0,7.0,1.0,1.0,54.0,"11,089",Majdal Shams
9.0,24.0,0.0,2.0,267.0,"22,449",Kafr Kanna
6.0,0.0,0.0,1.0,25.0,"16,644",Masudin al-Azazma
6.0,6.0,0.0,1.0,71.0,"17,465",Ar'arat an-Naqab
5.0,8.0,0.0,1.0,47.0,"19,850",Tel as-Sabi
4.0,38.0,1.0,1.0,224.0,"22,740",Clanswa
4.0,43.0,0.0,1.0,331.0,"25,876",Arraba
0.0,10.0,0.0,0.0,90.0,"13,164",Abu Snan
0.0,0.0,0.0,0.0,7.0,"6,235",Abu Qurinath (tribe)
0.0,1.0,0.0,0.0,21.0,"9,696",Abu Rukake (tribe)
0.0,9.0,0.0,0.0,87.0,"13,062",I'billin
0.0,0.0,0.0,0.0,17.0,"10,149",Self (tribe)
0.0,7.0,0.0,0.0,72.0,"11,757",Beit Jan
0.0,3.0,0.0,0.0,193.0,"19,058",Beit She'an
0.0,10.0,0.0,0.0,164.0,"16,993",Daliyat al-Karmel
0.0,9.0,0.0,0.0,48.0,"8,385",Zarzir
0.0,7.0,0.0,0.0,55.0,"16,983",Hura
0.0,9.0,0.0,0.0,82.0,"14,398",Tur'an
0.0,2.0,0.0,0.0,46.0,"6,514",Jan-Jat
0.0,5.0,0.0,0.0,97.0,"15,418",Yarka
0.0,4.0,0.0,0.0,87.0,"12,102","Kabul, Israel"
0.0,3.0,0.0,0.0,41.0,"8,550",Kisra-Sumei
0.0,3.0,0.0,0.0,28.0,"5,780",Kavaya-Tabash-Hajjara
0.0,9.0,0.0,0.0,83.0,"20,003",Kafr Manda
0.0,16.0,0.0,0.0,70.0,"14,695",Lakiya
0.0,10.0,0.0,0.0,198.0,"15,275",Majd al-Krum
0.0,5.0,0.0,0.0,58.0,"8,649",Mashhad
0.0,3.0,0.0,0.0,30.0,"8,241",Ilut
0.0,4.0,0.0,0.0,68.0,"8,243",Rama
0.0,7.0,0.0,0.0,122.0,"16,614",Reina
0.0,2.0,0.0,0.0,25.0,"10,310",Shaqib al-Salam
0.0,5.0,0.0,0.0,35.0,"7,191","Sha'ab, Israel"
