"Rate per 100,000",Number of actual insulation,A number of recoverers,Number 1. Verified patients,A number of subjects,Population as of 2018,City
966.73 682.65,337 15,112 21,"1,888 39","8,964 409","195,298 5,713",Bnei Brak
654.37,9,20,44,215,"6,724",Kfar Chabad
651.01,34,4,56,294,"8,602",Kokhav Ya'akov
599.48,11,27,64,639,"10,676",Efrat
541.06,73,14,253,"1,909","46,760",El'ad
379.92,54,27,99,863,"26,058",Migdal
335.79,49,19,117,"1,300","34,843",Or Yehuda
299.87,171,18,133,"1,524","44,353",Tiberias
295.36,87,8,218,"1,269","73,808",Modi'in
271.78,61,10,161,"1,012","59,240",Betar
270.25,10,1,32,220,"11,841",Elite Elite ridges
236.91,14,3,28,364,"11,819",Azur
228.85,"1,021",139,"2,093","19,361","914,559",Jerusalem
223.34,39,21,65,930,"29,104",Yehud
220.86,43,0,23,526,"10,414",Daburiyya
217.21,8,2,32,762,"14,732",Jessar a-
194.17,26,20,46,449,"23,691",Threw it
189.88,9,2,14,140,"7,373",Malachi Katzrin
188.49,18,10,25,299,"13,263",Even Yehuda
184.62,30,11,37,673,"20,041",Shoham
174.65,105,15,211,"2,041","120,812",Beit Shemesh
169.04,23,6,32,588,"18,930",Ganei Tikva
163.99,242,61,228,"3,505","139,032",Ashkelon
162.95,7,5,12,213,"7,364",Kiryat Kiryat Kiryat
157.06,14,0,10,145,"6,367",Shibli–Umm al-Ghanam
156.66,24,7,35,450,"22,341",Zikhron Ya'akov
154.19,46.0,12.0,55.0,623,"35,671",Zefat
151.13,41.0,0.0,18.0,615,"11,910",Jatt
142.64,45.0,9.0,35.0,640,"24,538",Hill
138.72,16.0,0.0,8.0,106,"5,767",Samuel Beit El
137.23,6.0,3.0,11.0,232,"8,016",Omer
136.61,145.0,47.0,119.0,"2,683","87,108",Maccabim
132.1,4.0,0.0,7.0,96,"5,299",Geva Binyamin
132.03,37.0,16.0,49.0,"1,038","37,112",Kiryat Ono
124.26,38.0,2.0,23.0,461,"18,510",Giv'at Ze'ev
123.49,6.0,0.0,8.0,145,"6,478",Shlomi
123.01,78.0,24.0,91.0,"1,699","73,979",Ra'anana
112.01,32.0,3.0,29.0,602,"25,891",Sderot
111.56,30.0,10.0,25.0,555,"22,410",Gan Yavne
111.17,8.0,6.0,14.0,281,"12,593",Tel Mond
110.05,61.0,13.0,56.0,"1,101","50,886",Afula
109.33,39.0,6.0,33.0,636,"30,185",Ofakim
104.96,147.0,33.0,137.0,"2,496","130,523",Bat Yam
104.09,84.0,7.0,39.0,"1,033","37,469",Degree
103.41,106.0,26.0,94.0,"2,013","90,900",Red Herzliya
101.73,506.0,131.0,458.0,"11,281","450,192",Tel Aviv
101.19,14.0,0.0,8.0,124,"7,906",Jaffa Karni
98.44,9.0,3.0,9.0,267,"9,143",Samaria Star Yair
98.35,144.0,27.0,141.0,"3,591","143,370",Ramat Gan
97.12,8.0,3.0,6.0,214,"6,178",Lehavim
94.63,20.0,1.0,10.0,199,"10,567",Deir Hanna
93.12,78.0,3.0,34.0,675,"36,511",Netivot
89.91,300.0,36.0,218.0,"4,884","242,478",Expand
88.07,18.0,1.0,5.0,107,"5,677",Hope Eilabun
86.87,31.0,16.0,39.0,"1,046","44,896",Ramat HaSharon
86.76,68.0,3.0,48.0,"1,039","55,324",Um al-
