"Rate per 100,000",Number of actual insulation,A number of recoverers,Number 1. Verified patients,A number of subjects,Population as of 2018,City,
1100.88,206,231,2150,9934,195298,Bnei Brak,
674.26,13,5,58,304,8602,Forests Kochav Yaakov,
654.37,6,29,44,227,6724,Kfar Habad,
643.71,39,30,301,2068,46760,El'ad,
599.48,5,30,64,659,10676,Efrat,
480.87,0,9,24,178,4991,Mitzpe Ramon,
379.92,19,40,99,902,26058,Migdal,
353.62,48,17,261,1500,73808,Modi'in,
350.14,23,28,122,1529,34843,Or Yehuda,
349.43,38,18,207,1287,59240,Betar,
324.67,95,28,144,1737,44353,Upper Elite Tiberias,
304.03,2,3,36,248,11841,Rechasim,
264.39,777,242,2418,22775,914559,Jerusalem,
253.83,10,7,30,387,11819,Azur,
244.37,6,3,36,1127,14732,Jessar a-,
241.25,86,1,30,1021,12435,Threw a tenant to-,
240.52,26,27,70,1017,29104,Assad Yehud,
240.06,36,1,25,683,10414,Daburiyya,
236.38,35,28,56,486,23691,Kiryat Kiryat,
225.14,84,30,272,2341,120812,Angels of Beit Shemesh,
217.01,5,3,16,151,7373,Katzrin,
208.08,14,0,12,121,5767,Beit El,
203.57,19,11,27,323,13263,Even Yehuda,
195.64,117,110,272,3960,139032,Ashkelon,
189.61,19,15,38,716,20041,Shoham,
184.89,15,10,35,631,18930,Ganei Tikva,
180.69,3,0,9,144,4981,Beit Aryeh-Ofarim,
176.53,3,5,13,229,7364,Kiryat,
172.88,34,4,32,520,18510,Four Wolf&#39,s Hill
168.2,26,17,60,700,35671,Zefat,
167.93,30,1,20,664,11910,Jatt,
161.14,13,9,36,469,22341,Zikhron Ya'akov,
157.06,8,0,10,213,6367,Shibli–Umm al-Ghanam,
154.86,17,12,38,686,24538,Hill Hill,
153.82,9,0,9,199,5851,Samuel Peki&#39,in
150.97,2,0,8,117,5299,(Buckeye) Geva Benjamin,
140.12,24,22,52,1151,37112,Kiryat Ono,
138.93,11,3,9,164,6478,Shlomi,
137.76,90,55,120,2858,87108,Maccabim,
137.23,2,5,11,258,8016,Reut Omar,
128.73,70,9,47,761,36511,Netivot,
128.41,46,39,95,1831,73979,Ra'anana,
125.89,40,9,38,705,30185,Ofakim,
120.48,23,13,27,594,22410,Gan Yavne,
120.31,7,3,11,287,9143,Kokhav Ya'ir,
119.88,33,17,61,1177,50886,Afula,
119.11,3,9,15,300,12593,Tel Mond,
118.75,87,48,155,2865,130523,Bat Yam,
112.01,19,11,29,659,25891,Sderot,
109.51,86,43,157,4896,143370,Ramat Gan,
109.42,73,10,41,1162,37469,Degree,
107.29,336,182,483,12325,450192,Reds Tel Aviv -,
105.61,62,36,96,2279,90900,Herzliya,
101.3,152,62,228,4636,225073,Ashdod,
101.19,10,2,8,134,7906,horny,
99.95,63,21,75,1598,75038,Samaria Lod,
99.41,39,5,55,1263,55324,Um al-,
97.43,16,11,24,559,24633,Coal fence,
97.12,4,4,6,222,6178,Lehavim,
96.92,208,62,235,5329,242478,Expand,
94.63,10,1,10,320,10567,Hope Tenant Hanna,
93.55,22,21,42,1118,44896,Ramat HaSharon,
90.14,47,12,42,1026,46596,Carmiel,
88.47,11,0,8,376,9043,Meiter,
88.29,142,41,164,4762,185741,Holon,
88.07,15,1,5,128,5677,Eilabun,
86.72,19,4,21,636,24216,Be'er Ya'akov,
86.3,178,78,208,6386,241010,First,
84.91,6,3,9,218,10600,To mark Kiryat,
84.8,20,12,30,801,35377,Dimona Principle,
82.72,143,49,177,3899,213971,Netanya,
79.74,37,13,60,1598,75246,Ramla,
79.46,106,43,109,3198,137178,Rehovot,
77.25,121,33,152,5133,196755,Be'er Sheva,
77.21,2,3,6,167,7771,Alfie,
74.64,16,14,34,1109,45555,Menashe will build,
73.91,63,29,72,2069,97412,Kfar Saba,
73.13,8,3,5,159,6837,Bnei Aish,
73.04,38,4,32,1122,43811,Nof Ha'Galil,
72.33,35,1,21,848,29035,Baka al-,
71.81,15,1,6,315,8355,Her socks are in her arms,
71.44,5,1,4,106,5599,Kfar Vradim,
69.92,8,0,7,244,10011,Jaljulia,
