"Rate per 100,000",A number of recoverers,A number of patients are verified,Number 1. subjects,Population as of 2018,City
1127.00,269,"2,201","10,395","195,298",Bnei Brak
682.65,24,39,419,"5,713",Kiryat Ye'arim
674.26,5,58,310,"8,602",Kokhav Ya'akov
654.37,28,44,234,"6,724",Kfar Habad
645.85,38,302,"2,147","46,760",El'ad
599.48,30,64,668,"10,676",Efrat
480.87,11,24,181,"4,991",Mitzpe Ramon
383.76,45,100,927,"26,058",Migdal HaEmek
361.88,1,45,"1,455","12,435",Dyer al-Assad
360.39,17,266,"1,584","73,808",Modi'in Illit
358.75,32,125,"1,575","34,843",Or Yehuda
354.49,20,210,"1,430","59,240",Beitar Illit
333.69,34,148,"1,785","44,353",Tiberias
304.03,6,36,255,"11,841",Rechasim
270.84,284,"2,477","24,092","914,559",Jerusalem
268.87,3,28,722,"10,414",Daburiyya
253.83,7,30,395,"11,819",Azur
251.15,3,37,"1,163","14,732",Jasser a-Zarqa
240.52,29,70,"1,035","29,104",Yehud
236.38,30,56,497,"23,691",Kiryat Malakhi
230.11,30,278,"2,461","120,812",Beit Shemesh
217.01,3,16,154,"7,373",Katzrin
208.08,0,12,124,"5,767",Beit El
203.57,11,27,329,"13,263",Even Yehuda
199.23,119,277,"4,057","139,032",Ashkelon
194.60,18,39,728,"20,041",Shoham
193.43,20,69,740,"35,671",Zefat
193.12,1,23,700,"11,910",Jatt
184.89,12.0,35.0,638,"18,930",Ganei Tikva
183.68,4.0,34.0,541,"18,510",Giv'at Ze'ev
180.69,0.0,9.0,149,"4,981",Beit Aryeh-Ofarim
176.53,5.0,13.0,237,"7,364",Kiryat Arba
170.91,0.0,10.0,495,"5,851",Pekiin
169.84,0.0,9.0,129,"5,299",Geva Binyamin
161.14,11.0,36.0,473,"22,341",Zikhron Ya'akov
157.06,0.0,10.0,215,"6,367",ShibliUmm al-Ghanam
154.86,12.0,38.0,702,"24,538",Giv'at Shmuel
141.2,55.0,123.0,"2,919","87,108",Maccabim
140.12,24.0,52.0,"1,175","37,112",Kiryat Ono
138.93,3.0,9.0,170,"6,478",Shlomi
137.23,5.0,11.0,264,"8,016",Omer
134.21,10.0,49.0,815,"36,511",Netivot
131.12,46.0,97.0,"1,899","73,979",Ra'anana
125.89,9.0,38.0,739,"30,185",Ofakim
121.84,19.0,62.0,"1,197","50,886",Afula
120.48,14.0,27.0,597,"22,410",Gan Yavne
120.31,3.0,11.0,290,"9,143",Kokhav Ya'ir
119.52,55.0,156.0,"2,961","130,523",Bat Yam
112.01,11.0,29.0,675,"25,891",Sderot
111.17,9.0,14.0,305,"12,593",Tel Mond
110.2,47.0,158.0,"5,040","143,370",Ramat Gan
109.42,11.0,41.0,"1,195","37,469",Ma'ale Adumim
108.4,209.0,488.0,"12,631","450,192",Tel Aviv - Yafo
107.72,1.0,9.0,446,"8,355",Bi'ina
105.69,2.0,6.0,141,"5,677",Eilabun
105.61,37.0,96.0,"2,450","90,900",Herzliya
105.28,23.0,79.0,"1,644","75,038",Lod
104.84,5.0,58.0,"1,402","55,324",Umm el-Fahm
103.08,70.0,232.0,"4,774","225,073",Ashdod
101.19,4.0,8.0,136,"7,906",Karnei Shomron
98.57,79.0,239.0,"5,503","242,478",Petah Tikva
97.43,13.0,24.0,572,"24,633",Gedera
97.12,4.0,6.0,227,"6,178",Lehavim
94.63,3.0,10.0,331,"10,567",Deir Hanna
94.43,13.0,44.0,"1,184","46,596",Carmiel
94.34,3.0,10.0,226,"10,600",Kiryat Ekron
93.55,22.0,42.0,"1,137","44,896",Ramat HaSharon
89.37,49.0,166.0,"4,855","185,741",Holon
88.47,0,8,382,"9,043",Meiter
88.38,95.0,213.0,"6,495","241,010",Rishon Lezion
87.76,3.0,6.0,165,"6,837",Bnei Aish
86.72,5.0,21.0,651,"24,216",Be'er Ya'akov
84.8,13.0,30.0,820,"35,377",Dimona
83.19,55.0,178.0,"4,173","213,971",Netanya
82.4,16.0,62.0,"1,645","75,246",Ramla
80.92,43.0,111.0,"3,318","137,178",Rehovot
77.76,38.0,153.0,"5,564","196,755",Be'er Sheva
77.21,4.0,6.0,171,"7,771",Alfei Menashe
76.99,32.0,75.0,"2,141","97,412",Kfar Saba
76.83,14.0,35.0,"1,125","45,555",Yavne
73.04,5.0,32.0,"1,142","43,811",Nof Ha'Galil
72.33,3.0,21.0,907,"29,035",Baqa al-Gharbiya
71.44,1.0,4.0,115,"5,599",Kfar Vradim
69.92,0.0,7.0,258,"10,011",Jaljulia
68.59,14.0,38.0,"1,129","55,400",Kiryat Gat
68.56,7.0,37.0,"1,458","53,965",Rosh Ha'ayin
67.26,4.0,18.0,377,"26,763",Arad
67.21,3.0,14.0,466,"20,831",Kadima Zoran
67.18,0.0,4.0,134,"5,954",Tzur Itzhak
66.89,6.0,10.0,430,"14,949",Mazkeret Batya
65.72,4.0,14.0,501,"21,301",Kfar Yona
65.31,15.0,36.0,"1,643","55,123",Givatayim
64.95,6.0,15.0,711,"23,093",Mevaseret Zion
63.65,4.0,5.0,292,"7,856",Tzur Hadassah
62.94,5.0,14.0,399,"22,243",Tirat Carmel
61.64,9.0,14.0,375,"22,711",Yokneam
61.23,3.0,4.0,145,"6,533",Beit Dagan
60.84,14.0,36.0,"1,273","59,171",Hod HaSharon
60.56,0.0,9.0,215,"14,861",Ma'ale Iron
60.27,2.0,11.0,489,"18,251",Ariel
59.53,1.0,14.0,780,"23,517",Kafr Qasim
58.69,5.0,13.0,460,"22,152",Kiryat Shmona
58.4,7.0,13.0,342,"22,261",Ma'alot-Tarshiha
58.15,8.0,23.0,765,"39,556",Kiryat Yam
57.23,1.0,5.0,250,"8,737",Harish
55.69,4.0,36.0,"1,401","64,649",Rahat
53.72,0.0,3.0,108,"5,584",Sha'arei Tikva
53.56,39.0,146.0,"4,916","272,584",Haifa
52.77,15.0,31.0,"1,164","58,750",Nahariya
50.68,0.0,5.0,81,"9,866",Bir al-Maksur
49.38,0.0,5.0,184,"10,126",Yeruham
47.77,1.0,7.0,249,"14,655",Iksal
47.35,8.0,16.0,627,"33,792",Tamra
43.75,4.0,20.0,"1,102","45,714",Ness Ziona
43.32,1.0,3.0,188,"6,926",Zemer
41.28,2.0,7.0,199,"16,957",Kuseife
41.14,1.0,4.0,176,"9,722",Hatzor HaGlilit
40.66,7.0,23.0,"1,037","56,568",Eilat
40.38,15.0,38.0,"1,480","94,104",Hadera
39.31,4.0,20.0,720,"50,872",Acre
38.2,5.0,15.0,"1,069","39,262",Kiryat Bialik
37.97,1.0,5.0,245,"13,167",Nahaf
37.94,0.0,2.0,123,"5,272",Caesarea Maritima
37.35,0.0,5.0,162,"13,388",Ein Mahil
37.05,0.0,7.0,251,"18,893",Or Akiva
36.77,9.0,21.0,921,"57,108",Kiryat Ata
35.77,2.0,8.0,339,"22,364",Maghar
34.01,1.0,3.0,216,"8,822",Oranit
33.18,1.0,2.0,147,"6,027",Pardesiya
32.95,1.0,4.0,475,"12,141",Isfiya
32.54,1.0,2.0,74,"6,147",Jules
31.88,1.0,6.0,434,"18,820",Kafr Qara
31.81,1.0,2.0,263,"6,288",Hurfeish
30.46,0.0,4.0,369,"13,133",Fureidis
30.37,2.0,2.0,68,"6,586",Buq'ata
30.08,1.0,3.0,155,"9,974",Buayne-Nujidat
28.48,1.0,3.0,247,"10,532",Basmaa
28.36,2.0,3.0,154,"10,577",Kafr Yasif
27.99,4.0,12.0,"1,137","42,870",Kiryat Motzkin
27.64,2.0,2.0,183,"7,236",Ramat Yishai
27.08,4.0,11.0,680,"40,622",Pardes Hanna-Karkur
26.87,1.0,2.0,158,"7,442",Atlit
25.53,1.0,2.0,71,"7,833",Basmat Tab'un
25.5,2.0,11.0,776,"43,144",Tayibe
24.93,3.0,8.0,603,"32,089",Sakhnin
22.69,2.0,5.0,342,"22,032",Nesher
20.99,3.0,4.0,193,"19,056",Yafa an-Naseriyye
20.86,1.0,3.0,215,"14,383",Binyamina-Givat Ada
19.52,1.0,1.0,173,"5,124",Bat Hefer
19.17,3,15,890,"78,252",Nazareth
19.1,0.0,5.0,643.0,"26,184",Tiraa
18.95,2.0,3.0,301.0,"15,831",Kiryat Tiv'on
17.21,2.0,7.0,509.0,"40,666",Shefa-'Amr
16.53,0.0,2.0,153.0,"12,102","Kabul, Israel"
15.19,0.0,2.0,126.0,"13,164",Abu Snan
15.04,0.0,1.0,26.0,"6,648",Tuba-Zangaria
13.36,0.0,3.0,321.0,"22,449",Kafr Kanna
13.09,0.0,2.0,460.0,"15,275",Majd al-Krum
12.83,1.0,1.0,95.0,"7,792",Abu Ghosh
12.13,0.0,1.0,65.0,"8,241",Ilut
12.13,0.0,1.0,224.0,"8,243",Rama
11.84,0.0,1.0,29.0,"8,446",Abu Rubeya (tribe)
11.7,0.0,1.0,164.0,"8,550",Kisra-Sumei
11.59,0.0,3.0,457.0,"25,876",Arraba
10.49,0.0,2.0,221.0,"19,058",Beit She'an
10.17,1.0,2.0,514.0,"19,667",Ar'ara
9.74,0.0,2.0,235.0,"20,524",Jadeida-acquaintance
9.02,1.0,1.0,114.0,"11,089",Majdal Shams
6.01,0.0,1.0,31.0,"16,644",Masudin al-Azazma
5.73,0.0,1.0,109.0,"17,465",Ar'arat an-Naqab
5.04,0.0,1.0,84.0,"19,850",Tel as-Sabi
4.4,1.0,1.0,315.0,"22,740",Clanswa
0.0,0.0,0.0,13.0,"6,235",Abu Qurinath (tribe)
0.0,0.0,0.0,26.0,"9,696",Abu Rukake (tribe)
0.0,0.0,0.0,115.0,"13,062",I'billin
0.0,0.0,0.0,22.0,"10,149",Self (tribe)
0.0,0.0,0.0,104.0,"11,757",Beit Jan
0.0,0.0,0.0,210.0,"16,993",Daliyat al-Karmel
0.0,0.0,0.0,58.0,"8,385",Zarzir
0.0,0.0,0.0,63.0,"16,983",Hura
0.0,0.0,0.0,118.0,"14,398",Tur'an
0.0,0.0,0.0,63.0,"6,514",Jan-Jat
0.0,0.0,0.0,150.0,"15,418",Yarka
0.0,0.0,0.0,32.0,"5,780",Kavaya-Tabash-Hajjara
0.0,0.0,0.0,160.0,"20,003",Kafr Manda
0.0,0.0,0.0,92.0,"14,695",Lakiya
0.00,0,0.1,65,"8,649",Mashhad
0.0,0,0,150,"16,614",Reina
0.0,0,0,39,"10,310",Shaqib al-Salam
0.0,0,0,137,"7,191","Sha'ab, Israel"
