"Rate per 100,000",A number of recoverers,Verified patients discovered so far,A number of subjects,Population as of 2018,City
1181.27,417,"2,307","10,964","195,298",Bnei Brak
715.72,1,89,"2,460","12,435",Dyer al-Assad
685.89,8,59,316,"8,602",Kokhav Ya'akov
682.65,24,39,422,"5,713",Kiryat Ye'arim
671.51,55,314,"2,215","46,760",El'ad
669.24,29,45,239,"6,724",Kfar Habad
599.48,35,64,673,"10,676",Efrat
480.87,13,24,193,"4,991",Mitzpe Ramon
383.76,51,100,"1,005","26,058",Migdal HaEmek
383.43,34,283,"1,681","73,808",Modi'in Illit
378.12,23,224,"1,470","59,240",Beitar Illit
367.36,41,128,"1,634","34,843",Or Yehuda
344.96,42,153,"1,870","44,353",Tiberias
312.47,9,37,262,"11,841",Rechasim
281.99,358,"2,579","25,564","914,559",Jerusalem
268.87,4,28,764,"10,414",Daburiyya
257.94,4,38,"1,260","14,732",Jasser a-Zarqa
254.94,38,308,"2,565","120,812",Beit Shemesh
253.83,9,30,403,"11,819",Azur
240.60,29,57,513,"23,691",Kiryat Malakhi
240.52,32,70,"1,056","29,104",Yehud
222.18,0,13,510,"5,851",Pekiin
217.01,3,16,161,"7,373",Katzrin
208.08,1,12,126,"5,767",Beit El
203.57,11,27,344,"13,263",Even Yehuda
201.39,137,280,"4,198","139,032",Ashkelon
200.76,0,10,152,"4,981",Beit Aryeh-Ofarim
196.24,22.0,70.0,772,"35,671",Zefat
195.46,14.0,37.0,655,"18,930",Ganei Tikva
194.6,21.0,39.0,741,"20,041",Shoham
193.12,2.0,23.0,723,"11,910",Jatt
189.09,6.0,35.0,567,"18,510",Giv'at Ze'ev
176.53,5.0,13.0,241,"7,364",Kiryat Arba
169.84,1.0,9.0,132,"5,299",Geva Binyamin
167.56,1.0,14.0,772,"8,355",Bi'ina
161.14,12.0,36.0,497,"22,341",Zikhron Ya'akov
158.94,14.0,39.0,719,"24,538",Giv'at Shmuel
157.06,1.0,10.0,225,"6,367",ShibliUmm al-Ghanam
147.9,11.0,54.0,850,"36,511",Netivot
141.2,60.0,123.0,"2,976","87,108",Maccabim
140.12,26.0,52.0,"1,216","37,112",Reut Kiryat Ono
139.14,13.0,42.0,766,"30,185",Ofakim
138.93,3.0,9.0,177,"6,478",Shlomi
137.23,5.0,11.0,267,"8,016",Omer
132.47,51.0,98.0,"2,312","73,979",Ra'anana
131.25,5.0,12.0,307,"9,143",Kokhav Ya'ir
125.77,22.0,64.0,"1,281","50,886",Afula
125.65,62.0,164.0,"3,094","130,523",Bat Yam
123.3,2.0,7.0,156,"5,677",Eilabun
120.48,19.0,27.0,619,"22,410",Gan Yavne
115.87,14.0,30.0,688,"25,891",Sderot
113.31,4.0,7.0,234,"6,178",Lehavim
112.99,54.0,162.0,"5,206","143,370",Ramat Gan
111.17,9.0,14.0,313,"12,593",Tel Mond
111.06,227.0,500.0,"13,236","450,192",Tel Aviv - Yafo
109.42,11.0,41.0,"1,223","37,469",Ma'ale Adumim
109.3,88.0,246.0,"5,029","225,073",Ashdod
106.61,25.0,80.0,"1,702","75,038",Lod
105.61,43.0,96.0,"2,562","90,900",Herzliya
104.84,11.0,58.0,"1,766","55,324",Umm el-Fahm
104.1,4.0,11.0,348,"10,567",Deir Hanna
101.19,4.0,8.0,140,"7,906",Karnei Shomron
100.22,93.0,243.0,"5,888","242,478",Petah Tikva
98.0,23.0,44.0,"1,238","44,896",Ramat HaSharon
97.43,14.0,24.0,625,"24,633",Gedera
96.57,14.0,45.0,"1,251","46,596",Carmiel
94.34,6.0,10.0,241,"10,600",Kiryat Ekron
91.53,65.0,170.0,"4,981","185,741",Holon
89.21,102,215,"6,681","241,010",Rishon Lezion
88.47,0,8,389,"9,043",Meiter
87.76,3,6,422,"6,837",Bnei Aish
86.72,7,21,672,"24,216",Be'er Ya'akov
85.05,20,64,"1,722","75,246",Ramla
84.8,15,30,838,"35,377",Dimona
84.12,58,180,"4,501","213,971",Netanya
80.92,46,111,"3,474","137,178",Rehovot
79.05,34,77,"2,255","97,412",Kfar Saba
77.25,46,152,"5,696","196,755",Be'er Sheva
77.21,4,6,175,"7,771",Alfei Menashe
76.83,15,35,"1,173","45,555",Yavne
73.04,11,32,"1,223","43,811",Nof Ha'Galil
72.33,4,21,965,"29,035",Baqa al-Gharbiya
71.44,3,4,122,"5,599",Kfar Vradim
70.99,4,19,398,"26,763",Arad
70.42,9,38,"1,511","53,965",Rosh Ha'ayin
69.92,0,7,274,"10,011",Jaljulia
68.94,17,38,"1,675","55,123",Givatayim
68.59,16,38,"1,184","55,400",Kiryat Gat
67.21,6,14,499,"20,831",Kadima Zoran
67.18,1,4,144,"5,954",Tzur Itzhak
66.89,9,10,445,"14,949",Mazkeret Batya
66.05,9,15,398,"22,711",Yokneam
65.75,2,12,501,"18,251",Ariel
65.72,4,14,540,"21,301",Kfar Yona
64.95,7,15,721,"23,093",Mevaseret Zion
63.78,1,15,871,"23,517",Kafr Qasim
63.65,3,5,300,"7,856",Tzur Hadassah
62.94,8,14,416,"22,243",Tirat Carmel
62.53,17,37,"1,327","59,171",Hod HaSharon
61.23,3,4,152,"6,533",Beit Dagan
60.56,2,9,240,"14,861",Ma'ale Iron
60.33,4,39,"1,468","64,649",Rahat
59.25,0,6,188,"10,126",Yeruham
58.69,4,13,480,"22,152",Kiryat Shmona
58.4,8,13,374,"22,261",Ma'alot-Tarshiha
58.15,9,23,842,"39,556",Kiryat Yam
57.23,1,5,259,"8,737",Harish
54.66,47,149,"5,587","272,584",Haifa
53.72,0,3,111,"5,584",Sha'arei Tikva
52.77,15,31,"1,228","58,750",Nahariya
50.68,0,5,107,"9,866",Bir al-Maksur
47.77,1,7,274,"14,655",Iksal
47.35,8,16,727,"33,792",Tamra
45.94,5,21,"1,131","45,714",Ness Ziona
45.69,1,6,384,"13,133",Fureidis
43.32,1,3,197,"6,926",Zemer
41.28,5,7,201,"16,957",Kuseife
41.14,1,4,186,"9,722",Hatzor HaGlilit
40.75,6,16,"1,137","39,262",Kiryat Bialik
40.66,7,23,"1,075","56,568",Eilat
40.38,16,38,"1,658","94,104",Hadera
39.31,4,20,789,"50,872",Acre
37.97,1,5,373,"13,167",Nahaf
37.94,0,2,125,"5,272",Caesarea Maritima
37.35,1,5,207,"13,388",Ein Mahil
37.05,0,7,282,"18,893",Or Akiva
36.77,10,21,"1,105","57,108",Kiryat Ata
35.77,3,8,352,"22,364",Maghar
34.77,3,15,855,"43,144",Tayibe
34.01,1,3,221,"8,822",Oranit
33.18,1,2,168,"6,027",Pardesiya
32.95,1,4,483,"12,141",Isfiya
32.54,1,2,78,"6,147",Jules
31.88,1,6,455,"18,820",Kafr Qara
31.81,1,2,267,"6,288",Hurfeish
31.49,3,6,271,"19,056",Yafa an-Naseriyye
30.37,2,2,70,"6,586",Buq'ata
30.08,1,3,167,"9,974",Buayne-Nujidat
28.48,1,3,284,"10,532",Basmaa
28.36,2,3,165,"10,577",Kafr Yasif
27.99,5,12,"1,646","42,870",Kiryat Motzkin
27.64,2,2,186,"7,236",Ramat Yishai
27.08,4,11,811,"40,622",Pardes Hanna-Karkur
26.87,2,2,167,"7,442",Atlit
25.53,2,2,83,"7,833",Basmat Tab'un
24.93,3,8,667,"32,089",Sakhnin
24.79,0,3,622,"12,102","Kabul, Israel"
24.27,0,2,100,"8,241",Ilut
22.69,3,5,371,"22,032",Nesher
20.86,1,3,224,"14,383",Binyamina-Givat Ada
20.45,6,16,972,"78,252",Nazareth
19.64,0,3,608,"15,275",Majd al-Krum
19.52,1,1,177,"5,124",Bat Hefer
19.1,1,5,662,"26,184",Tiraa
18.95,3,3.1,312,"15,831",Kiryat Tiv'on
17.82,0.0,4.0,357.0,"22,449",Kafr Kanna
17.21,3.0,7.0,581.0,"40,666",Shefa-'Amr
15.35,0.0,1.0,70.0,"6,514",Jan-Jat
15.19,0.0,2.0,140.0,"13,164",Abu Snan
15.04,0.0,1.0,59.0,"6,648",Tuba-Zangaria
12.83,1.0,1.0,117.0,"7,792",Abu Ghosh
12.13,0.0,1.0,244.0,"8,243",Rama
11.84,0.0,1.0,29.0,"8,446",Abu Rubeya (tribe)
11.7,0.0,1.0,169.0,"8,550",Kisra-Sumei
11.59,0.0,3.0,483.0,"25,876",Arraba
10.49,0.0,2.0,233.0,"19,058",Beit She'an
10.17,1.0,2.0,551.0,"19,667",Ar'ara
9.74,0.0,2.0,265.0,"20,524",Jadeida-acquaintance
9.02,1.0,1.0,128.0,"11,089",Majdal Shams
6.01,0.0,1.0,31.0,"16,644",Masudin al-Azazma
5.73,0.0,1.0,114.0,"17,465",Ar'arat an-Naqab
5.04,0.0,1.0,87.0,"19,850",Tel as-Sabi
4.4,1.0,1.0,377.0,"22,740",Clanswa
0.0,0.0,0.0,13.0,"6,235",Abu Qurinath (tribe)
0.0,0.0,0.0,27.0,"9,696",Abu Rukake (tribe)
0.0,0.0,0.0,132.0,"13,062",I'billin
0.0,0.0,0.0,25.0,"10,149",Self (tribe)
0.0,0.0,0.0,109.0,"11,757",Beit Jan
0.0,0.0,0.0,214.0,"16,993",Daliyat al-Karmel
0.0,0.0,0.0,64.0,"8,385",Zarzir
0.0,0.0,0.0,68.0,"16,983",Hura
0.0,0.0,0.0,129.0,"14,398",Tur'an
0.0,0.0,0.0,179.0,"15,418",Yarka
0.0,0.0,0.0,43.0,"5,780",Kaabaya-Tabash
0.0,0.0,0.0,173.0,"20,003",Hajjara Manda Village
0.0,0.0,0.0,94.0,"14,695",Lakiya
0.0,0.0,0.0,67.0,"8,649",Mashhad
0.0,0.0,0.0,164.0,"16,614",Reina
0.0,0.0,0.0,43.0,"10,310",Shaqib al-Salam
0.0,0.0,0.0,300.0,"7,191","Sha'ab, Israel"
