country,state/province,start_date,exposure_to_patient_isolation,enter_isolation,appearance_of_symptoms_isolation,risk_groups_isolation,full_quarantine,partial_quarantine,unnecessary_business,educational_institutions,religious_institutions,distance_saving_instructions,congregation_restriction,prohibition_entering_country,public_transport_restriction,limit_hospital_visits,limit_retirement_homes_visits,disinfecting_public_spaces,police_army_enforcement,fines_and_incarceration
China,Wuhan,17.3,TRUE,TRUE,,,FALSE,,TRUE,TRUE,TRUE,,,,,,,,,
Germany,,,FALSE,FALSE,,,FALSE,FALSE,Partial,Partial,,,,,,,,,,
Italy,,11.3,TRUE,,TRUE,,FALSE,TRUE,TRUE,TRUE,Partial,1,,,,TRUE,TRUE,,,
Spain,,14.3,,,,,FALSE,TRUE,TRUE,TRUE,Partial,1,,,,,,,,
UK,,,,,TRUE,TRUE,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,
South korea,,,TRUE,,TRUE,,,,FALSE,TRUE,FALSE,,,,,,,TRUE,,
USA,,,,,,,,,partial,FALSE,FALSE,FALSE,,,,,,,,
Sweden,,17.3,,,TRUE,TRUE,,,FALSE,Partial,FALSE,FALSE,500,TRUE,TRUE,,TRUE,,,
Australia,,20.3,TRUE,TRUE,TRUE,TRUE,,,FALSE,Partial,FALSE,1.5,100,TRUE,,,,,,
Cyprus,,21.3,,TRUE,,,,,TRUE,TRUE,FALSE,1,,TRUE,,TRUE,,,,
Taiwan,,,TRUE,TRUE,,,,,,,,FALSE,,TRUE,,,,,,
Singapore,,20.3,,TRUE,,,,,FALSE,,TRUE,1,250,TRUE,,,,,,
Denmrak,,,,,,,,,TRUE,TRUE,FALSE,1.5,10,TRUE,,TRUE,TRUE,,,
Norway,,,,,,,,,Partial,TRUE,FALSE,1,50,TRUE,,,,,,
Australia,Tasmania,19.3,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,
