Country,"TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/
1M pop
",

"World","1,420,641","+74,637","81,623","+6,969","301,516","1,037,502","47,915","182","10.5","","",
"USA","393,030","+26,026","12,657 ","+1,786","21,561","358,812","9,169","1,187","38","2,058,737","6,220",
"Spain","140,617","+3,942","13,912 ","+571","43,208","83,497","7,069","3,008","298","355,000","7,593",
"Italy","135,586","+3,039","17,127 ","+604","24,392","94,067","3,792","2,243","283","755,445","12,495",
"France","109,069","+11,059","10,328 ","+1,417","19,337","79,404","7,131","1,671","158","224,254","3,436",
"Germany","107,458","+4,083","1,983 ","+173","36,081","69,394","4,895","1,283","24","918,460","10,962",
"Iran","62,589","+2,089","3,872 ","+133","27,039","31,678","3,987","745","46","211,136","2,514",
"UK","55,242","+3,634","6,159 ","+786","135","48,948","1,559","814","91","266,694","3,929",
"Turkey","34,109","+3,892","725 ","+76","1,582","31,802","1,474","404","9","228,868","2,714",
"Switzerland","22,253","+596","821 ","+56","8,704","12,728","391","2,571","95","167,429","19,346",
"Belgium","22,194","+1,380","2,035 ","+403","4,157","16,002","1,260","1,915","176","80,512","6,947",
"Netherlands","19,580","+777","2,101 ","+234","250","17,229","1,424","1,143","123","86,589","5,053",
"Canada","17,847","+1,180","375 ","+52","3,935","13,537","426","473","10","346,507","9,181",
"Brazil","13,831","+1,648","681 ","+117","127","13,023","296","65","3","54,824","258",
"Austria","12,635","+338","243 ","+23","4,046","8,346","243","1,403","27","115,235","12,795",
"Portugal","12,442","+712","345 ","+34","184","11,913","271","1,220","34","121,256","11,892",
"S. Korea","10,331","+47","192 ","+6","6,694","3,445","55","202","4","477,304","9,310",
"Israel","9,248","+344","65 ","+8","770","8,413","149","1,068","8","117,339","13,557",
"Sweden","7,693","+487","591 ","+114","205","6,897","640","762","59","54,700","5,416",
"Russia","7,497","+1,154","58 ","+11","494","6,945","8","51","0.4","795,000","5,448",
"Australia","5,919","+24","48 ","+3","2,547","3,324","93","232","2","310,700","12,184",
"Norway","5,907","+42","89 ","+13","32","5,786","78","1,090","16","113,896","21,009",
"Ireland","5,709","+345","210 ","+36","25","5,474","165","1,156","43","42,484","8,604",
"India","5,311","+533","150 ","+14","421","4,740","","4","0.1","140,293","102",
"Chile","5,116","+301","43 ","+6","898","4,175","337","268","2","57,122","2,988",
"Denmark","5,071","+390","203 ","+16","1,491","3,377","127","875","35","58,419","10,086",
"Czechia","4,944","+122","88 ","+10","172","4,684","86","462","8","91,247","8,521",
"Poland","4,848","+435","129 ","+22","191","4,528","50","128","3","92,215","2,437",
"Romania","4,417","+360","197 ","+21","460","3,760","274","230","10","43,578","2,265",
"Pakistan","4,009","+243","56 ","+3","429","3,524","28","18","0.3","39,183","177",
"Malaysia","3,963","+170","63 ","+1","1,321","2,579","92","122","2","55,566","1,717",
"Japan","3,906","","92 ","","592","3,222","79","31","0.7","55,311","437",
"Philippines","3,764","+104","177 ","+14","84","3,503","1","34","2","22,958","210",
"Ecuador","3,747","","191 ","","100","3,456","156","212","11","13,039","739",
"Luxembourg","2,970","+127","44 ","+3","500","2,426","35","4,745","70","25,702","41,059",
"Peru","2,954","+393","107 ","+15","1,301","1,546","109","90","3","21,555","654",
"Saudi Arabia","2,795","+190","41 ","+3","615","2,139","41","80","1","","",
"Indonesia","2,738","+247","221 ","+12","204","2,313","","10","0.8","14,354","52",
"Serbia","2,447","+247","61 ","+3","118","2,268","109","280","7","9,626","1,102",
"Mexico","2,439","+296","125 ","+31","633","1,681","89","19","1.0","20,475","159",
"UAE","2,359","+283","12 ","+1","186","2,161","1","239","1","220,000","22,244",
"Finland","2,308","+132","34 ","+7","300","1,974","81","417","6","34,900","6,299",
"Thailand","2,258","+38","27 ","+1","888","1,343","61","32","0.4","71,860","1,030",
"Panama","2,100","","55 ","","14","2,031","88","487","13","10,297","2,386",
"Qatar","2,057","+225","6 ","+2","150","1,901","37","714","2","41,818","14,515",
"Dominican Republic","1,956","+128","98 ","+12","36","1,822","147","180","9","4,542","419",
"Greece","1,832","+77","81 ","+2","269","1,482","90","176","8","28,584","2,742",
"Colombia","1,780","+201","50 ","+4","100","1,630","76","35","1.0","30,445","598",
"South Africa","1,749","+63","13 ","+1","95","1,641","7","29","0.2","58,098","980",
"Argentina","1,628","","56 ","+3","338","1,234","96","36","1","11,778","261",
"Iceland","1,586","+24","6 ","","559","1,021","11","4,648","18","28,991","84,957",
"Singapore","1,481","+106","6 ","","377","1,098","29","253","1","65,000","11,110",
"Algeria","1,468","+45","193 ","+20","113","1,162","46","33","4","3,359","77",
"Ukraine","1,462","+143","45  ","+7","28","1,389","16","33","1","6,385","146",
"Egypt","1,450","+128","94 ","+9","276","1,080","","14","0.9","25,000","244",
"Croatia","1,282","+60","18 ","+2","167","1,097","35","312","4","12,322","3,002",
"Morocco","1,184","+64","90 ","+10","93","1,001","1","32","2","5,437","147",
"New Zealand","1,160","+54","1 ","","241","918","4","241","0.2","42,826","8,881",
"Estonia","1,149","+41","21 ","+2","69","1,059","12","866","16","23,546","17,750",
"Iraq","1,122","+91","65 ","+1","373","684","","28","2","26,331","655",
"Slovenia","1,059","+38","36 ","+6","102","921","30","509","17","29,455","14,168",
"Moldova","1,056","+91","22 ","+3","40","994","80","262","5","5,108","1,266",
"Hong Kong","936","+21","4 ","","236","696","12","125","0.5","96,709","12,900",
"Lithuania","880","+37","15 ","","8","857","11","323","6","27,807","10,215",
"Belarus","861","+161","13 ","","54","794","31","91","1","43,000","4,551",
"Armenia","853","+20","8 ","","87","758","30","288","3","5,140","1,735",
"Hungary","817","+73","47 ","+9","71","699","17","85","5","23,746","2,458",
"Bahrain","811","+55","5 ","+1","458","348","4","477","3","47,684","28,023",
"Bosnia and Herzegovina","764","+90","33 ","+4","68","663","4","233","10","6,911","2,106",
"Kuwait","743","+78","1 ","","105","637","23","174","0.2","","",
"Azerbaijan","717","+76","8 ","+1","44","665","23","71","0.8","53,300","5,257",
